purpose,timestamp,resolution,isReIntervention,interventionDuration,timezone,app,interventionType
,1753165505.8588839,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
Entertainment,1753190475.64612,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
Entertainment,1753191487.504199,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1753191857.993105,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1753192711.9924412,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1753217418.495181,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
Entertainment,1753253850.806787,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
Entertainment,1753265154.159886,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
Entertainment,1753281002.683562,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1753284351.191052,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1753284477.587521,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1753284917.661007,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
Entertainment,1753299842.417459,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1753300522.951874,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1753301026.987072,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
Entertainment,1753305287.564695,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1753311565.007108,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
Entertainment,1753311597.76581,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1753312924.618578,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
Entertainment,1753312947.5613189,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1753338812.9725099,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1753386624.353138,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
Entertainment,1753465826.554418,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
Entertainment,1753469841.6091518,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
Entertainment,1753512338.943184,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1753531280.241267,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1753531490.6929278,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1753540267.0671458,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1753540780.240766,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
Entertainment,1753541014.2118402,openedApp,False,6.0,Europe/Berlin,youtube,breathingExercise
Entertainment,1753606892.836384,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1753608830.116899,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
Entertainment,1753610468.5922751,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1753628372.610049,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
