timezone,app,resolution,timestamp,interventionType,interventionDuration,isReIntervention,purpose
America/Denver,instagram,dismissedAppOpening,1751831787.6377969,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751831791.089318,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751831803.903283,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751831807.377071,breathingExercise,1.5,False,
America/Denver,instagram,openedApp,1751837116.770889,breathingExercise,1.5,False,Check likes
America/Denver,instagram,openedApp,1751837134.04338,breathingExercise,1.5,False,Check likes
America/Denver,instagram,openedApp,1751841402.85374,breathingExercise,1.5,False,Stay In the Loop
America/Denver,instagram,openedApp,1751841422.381259,breathingExercise,1.5,False,Check likes
America/Denver,instagram,openedApp,1751841437.2395601,breathingExercise,1.5,False,Relax
America/Denver,instagram,dismissedAppOpening,1751842859.6013288,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751843056.392334,breathingExercise,1.5,False,
America/Denver,instagram,openedApp,1751848716.357306,breathingExercise,1.5,False,Toilet
America/Denver,instagram,dismissedAppOpening,1751851858.418244,breathingExercise,1.5,False,
America/Denver,instagram,openedApp,1751851871.932486,breathingExercise,1.5,False,Message
America/Denver,instagram,dismissedAppOpening,1751852244.153553,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751852247.923852,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751852252.766891,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751852258.725603,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751852263.879901,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751852283.5985951,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751852287.99508,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751852292.964765,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751852299.89957,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751852309.637758,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751852315.509735,breathingExercise,1.5,False,
America/Denver,instagram,openedApp,1751853486.3216538,breathingExercise,1.5,False,Bored
America/Denver,instagram,openedApp,1751853505.062561,breathingExercise,1.5,False,Message
America/Denver,instagram,dismissedAppOpening,1751857010.825975,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751857028.3453798,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751857039.059802,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751857043.6270251,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751857047.8208508,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751857052.194384,breathingExercise,1.5,False,
America/Denver,instagram,openedApp,1751857060.823658,breathingExercise,1.5,False,Toilet
America/Denver,instagram,dismissedAppOpening,1751857903.4890342,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751857921.920453,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751857940.310777,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751857958.271373,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751857967.018132,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751857979.5559158,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751857991.165338,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751858026.240871,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751860512.0768828,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751860540.997733,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751875981.97609,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751875988.1574621,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751875992.8544412,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751875998.252379,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751876002.50848,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751876005.059987,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751876010.786387,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751876016.225163,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751876020.147573,breathingExercise,1.5,False,
