purpose,isReIntervention,timestamp,resolution,app,interventionDuration,timezone,interventionType,timeIntervalUntilReIntervention
,False,1749547019.456855,closedApp,NOS,,Europe/Amsterdam,,
Nieuwsgierig ,False,1749547731.1766958,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
,False,1749549059.509557,dismissedAppOpening,instagram,1.5,Europe/Amsterdam,breathingExercise,
Bericht,False,1749549069.595829,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,120.0
Bericht,True,1749549204.895643,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,120.0
,False,1749550026.394371,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
Bericht,False,1749551793.913688,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,120.0
Bericht,False,1749553086.723125,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,True,1749553172.816056,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1749553292.676444,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,180.0
,False,1749553395.687162,dismissedAppOpening,instagram,1.5,Europe/Amsterdam,breathingExercise,
,False,1749553457.022548,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
Bericht,False,1749574956.368851,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1749583309.568544,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,180.0
,False,1749583639.047138,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
Nieuwsgierig ,False,1749583650.12345,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,180.0
,False,1749583782.925202,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
Nieuwsgierig ,False,1749587251.679476,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,120.0
Nieuwsgierig ,False,1749587299.388534,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,120.0
Nieuwsgierig ,False,1749588023.445365,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,180.0
,False,1749588855.6830258,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
Nieuwsgierig ,False,1749592986.254138,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,180.0
Nieuwsgierig ,False,1749593243.15258,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,180.0
Nieuwsgierig ,False,1749593435.298792,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,180.0
Nieuwsgierig ,False,1749614590.361103,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,120.0
Nieuwsgierig ,False,1749614659.213138,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
Zoek informatie,False,1749615495.514056,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,180.0
Nieuwsgierig ,False,1749615599.377585,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,180.0
Nieuwsgierig ,False,1749619953.838502,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,180.0
Nieuwsgierig ,False,1749620107.3162398,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,120.0
Nieuwsgierig ,False,1749620740.733626,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,180.0
Zoek informatie,False,1749620924.314694,openedApp,NOS,1.5,Europe/Amsterdam,breathingExercise,
,False,1749620990.087929,closedApp,NOS,,Europe/Amsterdam,,
,False,1749621019.214786,closedApp,NOS,,Europe/Amsterdam,,
