interventionDuration,resolution,timeIntervalUntilReIntervention,timezone,timestamp,app,interventionType,isReIntervention,purpose
6.0,dismissedAppOpening,,Europe/Kiev,1753564668.146502,telegram,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753565428.989437,telegram,askForTimeLimit,False,
6.0,openedApp,,Europe/Kiev,1753565716.418253,instagram,breathingExercise,False,Post something
,openedApp,,Europe/Kiev,1753565482.070706,instagram,,False,
,closedApp,,Europe/Kiev,1753565782.0707068,instagram,,False,
,dismissedAppOpening,,Europe/Kiev,1753565782.0707068,instagram,,False,
6.0,openedApp,,Europe/Kiev,1753566246.108619,instagram,breathingExercise,False,Check likes
6.0,dismissedAppOpening,,Europe/Kiev,1753566298.583082,telegram,breathingExercise,False,
6.0,openedApp,240.0,Europe/Kiev,1753569775.179143,youtube,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753571600.125476,telegram,askForTimeLimit,False,
6.0,openedApp,300.0,Europe/Kiev,1753571673.561815,youtube,askForTimeLimit,False,
6.0,openedApp,300.0,Europe/Kiev,1753571805.538951,telegram,breathingExercise,False,Message
6.0,openedApp,60.0,Europe/Kiev,1753571894.670576,telegram,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753571946.9726892,youtube,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753572019.07381,telegram,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753573474.269705,telegram,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753576936.709095,telegram,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753577918.496098,telegram,askForTimeLimit,False,
6.0,openedApp,180.0,Europe/Kiev,1753578048.411295,telegram,breathingExercise,False,Message
6.0,dismissedAppOpening,,Europe/Kiev,1753578089.565587,telegram,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753578734.701198,telegram,askForTimeLimit,False,
6.0,openedApp,2700.0,Europe/Kiev,1753578796.832561,youtube,askForTimeLimit,False,
6.0,openedApp,2700.0,Europe/Kiev,1753578877.613838,youtube,askForTimeLimit,False,
6.0,openedApp,1800.0,Europe/Kiev,1753587009.2427669,youtube,askForTimeLimit,False,
6.0,openedApp,240.0,Europe/Kiev,1753605259.765987,telegram,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753605315.900919,telegram,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753606655.140506,telegram,askForTimeLimit,False,
6.0,openedApp,180.0,Europe/Kiev,1753614601.156186,telegram,askForTimeLimit,False,
6.0,openedApp,120.0,Europe/Kiev,1753614932.667819,telegram,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753615077.3376222,telegram,breathingExercise,True,Message
6.0,openedApp,1500.0,Europe/Kiev,1753615575.636945,youtube,askForTimeLimit,False,
6.0,openedApp,660.0,Europe/Kiev,1753616644.963861,youtube,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753616995.102088,youtube,askForTimeLimit,False,
6.0,openedApp,1500.0,Europe/Kiev,1753617118.550232,youtube,breathingExercise,False,Entertainment
6.0,openedApp,1380.0,Europe/Kiev,1753617783.886046,youtube,askForTimeLimit,False,
6.0,openedApp,1140.0,Europe/Kiev,1753619031.3421268,youtube,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753620422.3947182,telegram,askForTimeLimit,False,
