interventionType,resolution,timestamp,purpose,timezone,interventionDuration,isReIntervention,app,timeIntervalUntilReIntervention
,closedApp,1751214367.1550741,,Europe/Copenhagen,,False,instagram,
breathingExercise,openedApp,1751214375.552908,Undslippe / Undgå,Europe/Copenhagen,1.5,True,instagram,360.0
,closedApp,1751214740.0139852,,Europe/Copenhagen,,False,instagram,
breathingExercise,openedApp,1751214751.0111089,Undslippe / Undgå,Europe/Copenhagen,1.5,True,instagram,1020.0
,closedApp,1751215443.883936,,Europe/Copenhagen,,False,instagram,
,closedApp,1751215546.471387,,Europe/Copenhagen,,False,instagram,
breathingExercise,openedApp,1751215722.827322,Undslippe / Undgå,Europe/Copenhagen,1.5,False,instagram,300.0
,closedApp,1751216028.626398,,Europe/Copenhagen,,False,instagram,
,closedApp,1751218700.701731,,Europe/Copenhagen,,False,instagram,
breathingExercise,openedApp,1751222421.7080321,Toilet,Europe/Copenhagen,1.5,False,tikTok,300.0
,closedApp,1751222565.435679,,Europe/Copenhagen,,False,tikTok,
,closedApp,1751222814.365065,,Europe/Copenhagen,,False,tikTok,
breathingExercise,openedApp,1751228133.3937368,Find information,Europe/Copenhagen,1.5,False,instagram,840.0
,closedApp,1751228155.238075,,Europe/Copenhagen,,False,instagram,
,closedApp,1751228185.782377,,Europe/Copenhagen,,False,instagram,
breathingExercise,openedApp,1751228312.773912,Find information,Europe/Copenhagen,1.5,False,instagram,540.0
,closedApp,1751228358.935306,,Europe/Copenhagen,,False,instagram,
,closedApp,1751228982.433599,,Europe/Copenhagen,,False,instagram,
breathingExercise,openedApp,1751231054.6546721,Lave et opslag,Europe/Copenhagen,1.5,False,instagram,720.0
,closedApp,1751231108.692425,,Europe/Copenhagen,,False,instagram,
breathingExercise,openedApp,1751231225.212247,Toilet,Europe/Copenhagen,1.5,False,instagram,420.0
,closedApp,1751231652.702324,,Europe/Copenhagen,,False,instagram,
breathingExercise,openedApp,1751234055.490016,Kan ikke sove,Europe/Copenhagen,1.5,False,instagram,720.0
,closedApp,1751234787.5356998,,Europe/Copenhagen,,False,instagram,
breathingExercise,openedApp,1751273451.85744,Toilet,Europe/Copenhagen,1.5,False,instagram,480.0
,closedApp,1751273935.2874022,,Europe/Copenhagen,,False,instagram,
breathingExercise,openedApp,1751273944.363861,Hold dig opdateret,Europe/Copenhagen,1.5,True,instagram,600.0
,closedApp,1751274551.984147,,Europe/Copenhagen,,False,instagram,
breathingExercise,openedApp,1751274566.612349,Hold dig opdateret,Europe/Copenhagen,1.5,True,instagram,1200.0
,closedApp,1751274651.5940828,,Europe/Copenhagen,,False,instagram,
,closedApp,1751274968.37181,,Europe/Copenhagen,,False,instagram,
,closedApp,1751275213.013832,,Europe/Copenhagen,,False,instagram,
,closedApp,1751275289.5747318,,Europe/Copenhagen,,False,instagram,
breathingExercise,dismissedAppOpening,1751292813.321564,,Europe/Copenhagen,1.5,False,tikTok,
breathingExercise,dismissedAppOpening,1751292927.4862819,,Europe/Copenhagen,1.5,False,tikTok,
