timestamp,interventionType,resolution,interventionDuration,app,timezone,isReIntervention,purpose,timeIntervalUntilReIntervention
1752686488.407239,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,360.0
1752693000.990833,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,360.0
1752693384.5412269,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Unterhaltung,
1752695777.688453,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,True,Auf dem Laufenden bleiben,300.0
1752701619.6764898,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,300.0
1752702325.414353,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,180.0
1752703114.896055,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Ablenkung,
1752737670.143588,breathingExercise,openedApp,1.5,snapchat,Europe/Berlin,False,Nachricht / Schreiben,360.0
1752738619.117909,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Unterhaltung,
1752754417.978019,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,300.0
1752756663.7530189,breathingExercise,dismissedAppOpening,1.5,instagram,Europe/Berlin,False,,
1752756677.144587,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,True,Etwas posten,300.0
1752758006.6844568,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,300.0
1752758414.665307,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,True,Etwas posten,180.0
1752758537.867389,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,240.0
1752759083.965273,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,180.0
1752759311.621038,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Likes checken,180.0
1752763978.261485,breathingExercise,openedApp,1.5,snapchat,Europe/Berlin,False,Nachricht / Schreiben,240.0
1752767254.2426891,breathingExercise,openedApp,1.5,snapchat,Europe/Berlin,False,Nachricht / Schreiben,300.0
1752767714.517322,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,360.0
1752767943.980176,breathingExercise,openedApp,1.5,snapchat,Europe/Berlin,False,Nachricht / Schreiben,300.0
1752769111.182821,breathingExercise,dismissedAppOpening,1.5,instagram,Europe/Berlin,False,,
1752776557.90968,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,300.0
1752776872.398047,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,True,Entspannung,420.0
1752777304.17213,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,True,Klo,420.0
1752777737.073636,breathingExercise,openedApp,1.5,snapchat,Europe/Berlin,False,Auf dem Laufenden bleiben,360.0
1752777822.969316,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Ablenkung,
1752787820.154313,breathingExercise,openedApp,1.5,snapchat,Europe/Berlin,False,Infos suchen,480.0
