timestamp,app,resolution,isReIntervention,interventionDuration,timezone,interventionType
1750878347.473077,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750878557.26166,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750882232.952049,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750911859.058146,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750912158.7597132,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750915482.079421,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750915663.882038,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750921428.186662,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750921972.355809,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750924084.700121,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750925253.777097,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750928777.8536391,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750929600.67184,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750929809.906625,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750930087.672738,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750943232.576308,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750946789.955976,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750947445.71519,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750947810.4050422,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750948263.891016,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750950565.145819,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750951276.3057609,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750951376.81131,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750951562.250444,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750951723.633431,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750951984.706352,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750952051.9791188,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750952293.942148,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750953687.185505,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750954932.698673,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750955376.974922,instagram,dismissedAppOpening,False,1.5,Asia/Kolkata,breathingExercise
1750955898.6752539,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750958130.474087,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750960332.685195,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750962906.5293,instagram,dismissedAppOpening,False,1.5,Asia/Kolkata,breathingExercise
1750962911.773995,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750966900.300281,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750967625.536279,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750967846.149425,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750973337.861061,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750976126.560276,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750994202.81622,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750995917.3088589,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750996190.284549,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750996799.076333,instagram,dismissedAppOpening,False,1.5,Asia/Kolkata,breathingExercise
