isReIntervention,timestamp,interventionType,app,timezone,interventionDuration,resolution,purpose
False,1750979551.923616,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Mensaje
False,1750979964.291991,breathingExercise,tikTok,Europe/Madrid,1.5,dismissedAppOpening,
False,1751007918.163708,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Relajarse
False,1751009421.479099,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1751009447.7822418,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Entretenimiento
False,1751010793.3592691,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1751010823.791329,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1751011753.3277469,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1751011763.922524,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Entretenimiento
False,1751012944.648535,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1751013003.097484,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1751013008.675293,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1751013021.24278,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1751013039.734431,breathingExercise,tikTok,Europe/Madrid,1.5,openedApp,Escapar / Evitar
False,1751013121.702269,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1751026970.1057758,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Entretenimiento
False,1751027977.098113,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Relajarse
False,1751028293.679138,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1751028305.8728762,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Mantente Informado
False,1751028666.867821,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1751028760.254334,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1751028797.784764,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Publicar algo
False,1751028855.216533,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Buscar info
False,1751029202.504009,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Entretenimiento
False,1751029986.629946,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Escapar / Evitar
False,1751030072.252379,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1751030082.452728,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Entretenimiento
False,1751030583.4350119,breathingExercise,tikTok,Europe/Madrid,1.5,openedApp,Entretenimiento
False,1751038066.2457662,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Mantente Informado
False,1751038776.436602,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Aburrido
False,1751038955.033654,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1751039416.170162,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1751039632.510771,breathingExercise,tikTok,Europe/Madrid,1.5,openedApp,Escapar / Evitar
False,1751042441.072639,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1751042700.73509,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1751044767.394202,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1751044787.195352,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1751044941.361782,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Relajarse
False,1751045252.875125,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1751045782.245647,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Mensaje
False,1751045985.217502,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Publicar algo
