interventionDuration,isReIntervention,timezone,app,interventionType,resolution,timestamp,purpose
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1750556052.038995,
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1750556054.2666469,
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750556070.6742911,搜索信息
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750558583.553488,放松
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750559657.222584,放松
6,False,Asia/Shanghai,red,breathingExercise,openedApp,1750560105.985179,放松
6,False,Asia/Shanghai,red,breathingExercise,openedApp,1750560281.410898,放松
6,False,Asia/Shanghai,red,breathingExercise,openedApp,1750561720.3515968,娱乐
6,False,Asia/Shanghai,red,breathingExercise,dismissedAppOpening,1750562557.1051102,
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750569623.341994,放松
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750570510.0948381,放松
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750572323.5954971,放松
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750579415.229861,留在循环中
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750580044.1347709,放松
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750581664.370527,娱乐
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750585597.75182,放松
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750586249.6592379,放松
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750586502.936204,放松
6,False,Asia/Shanghai,red,breathingExercise,dismissedAppOpening,1750589298.316448,
6,False,Asia/Shanghai,red,breathingExercise,dismissedAppOpening,1750589300.6654449,
6,False,Asia/Shanghai,red,breathingExercise,dismissedAppOpening,1750589302.869827,
6,False,Asia/Shanghai,red,breathingExercise,openedApp,1750589317.363786,娱乐
6,False,Asia/Shanghai,red,breathingExercise,openedApp,1750590389.187423,逃跑/避开
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1750592152.610698,
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1750592154.764903,
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750592169.6819801,放松
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1750596321.284961,
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1750596323.706833,
