resolution,timestamp,interventionType,app,interventionDuration,timezone,isReIntervention
openedApp,1753650544.264138,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753651811.6464062,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753656212.179463,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753656995.340551,breathingExercise,instagram,6,America/Mexico_City,False
dismissedAppOpening,1753658630.224618,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753659428.009048,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753664911.168251,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753665600.31816,breathingExercise,tikTok,6,America/Mexico_City,False
openedApp,1753666645.5667992,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753672480.8408961,breathingExercise,instagram,6,America/Mexico_City,False
dismissedAppOpening,1753672953.119983,breathingExercise,instagram,6,America/Mexico_City,False
dismissedAppOpening,1753672964.936881,breathingExercise,tikTok,6,America/Mexico_City,False
dismissedAppOpening,1753673708.196422,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753673945.517827,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753676380.0999641,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753677370.358787,breathingExercise,instagram,6,America/Mexico_City,False
dismissedAppOpening,1753679047.366936,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753717799.5836139,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753718582.621634,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753720414.617023,breathingExercise,tikTok,6,America/Mexico_City,False
dismissedAppOpening,1753721844.383006,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753721859.2314901,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753728037.621138,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753730922.160369,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753731375.395471,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753733663.8691669,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753735340.712731,breathingExercise,tikTok,6,America/Mexico_City,False
openedApp,1753745097.401984,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753748953.947937,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753750970.138119,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753754971.4061341,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753764968.597651,breathingExercise,instagram,6,America/Mexico_City,False
dismissedAppOpening,1753766311.435741,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753798852.651788,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753808195.1094651,breathingExercise,instagram,6,America/Mexico_City,False
dismissedAppOpening,1753838970.671299,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753838988.231453,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753846165.3145452,breathingExercise,instagram,6,America/Mexico_City,False
dismissedAppOpening,1753846209.007338,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753846226.697608,breathingExercise,tikTok,6,America/Mexico_City,False
openedApp,1753853092.7527041,breathingExercise,youtube,6,America/Mexico_City,False
dismissedAppOpening,1753883885.3858008,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753883937.426643,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753884543.527423,breathingExercise,tikTok,6,America/Mexico_City,False
openedApp,1753885047.5009289,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753885094.992542,breathingExercise,tikTok,6,America/Mexico_City,False
openedApp,1753885761.42135,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753895501.171496,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753900361.0513139,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753904235.843375,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753911710.622819,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753912647.973341,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753913373.086129,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753914204.7649488,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753916661.0671492,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753917586.6499739,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753920590.376618,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753922779.650094,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753922863.145138,breathingExercise,tikTok,6,America/Mexico_City,False
openedApp,1753922953.795547,breathingExercise,tikTok,6,America/Mexico_City,False
openedApp,1753926331.916065,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753928757.646584,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753929494.3380861,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753929864.006381,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753936370.190068,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753938662.77737,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1754126425.505681,breathingExercise,instagram,6,America/Mexico_City,False
dismissedAppOpening,1754129574.003344,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1754130510.01172,breathingExercise,instagram,6,America/Mexico_City,False
dismissedAppOpening,1754130867.1252599,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1754134046.692888,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1754137332.383409,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1754145842.986699,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1754151613.5885391,breathingExercise,instagram,6,America/Mexico_City,False
