timestamp,app,timezone,interventionDuration,isReIntervention,interventionType,resolution
1753553319.500595,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753554721.93821,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753590445.827106,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753595561.441759,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753598885.1984391,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753600666.689938,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753600895.224664,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753601514.611731,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753602486.226289,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753602506.37925,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753603209.714297,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753603330.524401,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753603816.169619,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753604141.531764,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753607395.460365,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753609187.766646,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753609504.794641,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753610406.2645922,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753610412.5364451,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753610504.058529,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753611005.6764169,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753611956.943962,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753612330.3278499,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753612515.234414,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753613462.01595,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753613878.775909,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753614156.692047,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753614449.5263581,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753616695.2804608,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753617398.902215,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753617615.963583,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753618132.188899,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753618253.014598,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753618302.5203152,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753619453.520585,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753619699.502008,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753620021.856707,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753620709.831145,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753620988.899609,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753623748.2932181,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753624007.096702,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753624413.9915562,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753624540.908191,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753624725.4642758,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753625188.0681129,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753625377.628658,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753625902.6833382,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753625911.539748,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753626215.88209,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753626282.322566,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753627515.167789,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753627660.853344,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753628425.01717,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753628554.721303,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753628826.1225019,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753629771.331789,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753630285.555811,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753631388.512998,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753632931.827568,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753635211.3932939,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753635495.270215,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753636045.406867,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753636047.72311,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753636357.863395,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753636860.471456,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753640923.783372,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753641031.500504,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753642436.567533,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753644027.010771,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753645722.415471,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753673233.339994,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753673665.928759,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753675742.305342,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753679471.1709309,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753680536.072896,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753684429.539041,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753685758.827965,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753705852.0720801,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753706218.8048491,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753706406.812169,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753706961.8056269,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753708205.051363,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753711351.263519,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753711529.077261,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753713576.133182,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
