resolution,interventionDuration,timestamp,interventionType,timezone,isReIntervention,app,purpose,timeIntervalUntilReIntervention,terminationReason
dismissedAppOpening,3.0,1749174284.363285,donatusStudy,Asia/Kolkata,0.0,youtube,,,
dismissedAppOpening,3.0,1749174295.9198651,donatusStudy,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1749174365.4016461,donatusStudy,Asia/Kolkata,0.0,instagram,Message,1800.0,
closedApp,,1749174378.101128,,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1749174478.498948,donatusStudy,Asia/Kolkata,0.0,instagram,Post something,1800.0,
closedApp,,1749174565.25874,,Asia/Kolkata,0.0,instagram,,,
dismissedAppOpening,3.0,1749174568.712188,donatusStudy,Asia/Kolkata,0.0,youtube,,,
closedApp,,1749174628.9454389,,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1749174865.8897948,donatusStudy,Asia/Kolkata,0.0,instagram,Post something,1800.0,
closedApp,,1749174894.190172,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749175361.811636,,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1749175486.7537851,donatusStudy,Asia/Kolkata,0.0,instagram,Bored,1800.0,
closedApp,,1749175514.7550058,,Asia/Kolkata,0.0,instagram,,,
dismissedAppOpening,3.0,1749175912.9638848,donatusStudy,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1749176338.085186,donatusStudy,Asia/Kolkata,0.0,instagram,Entertainment,1800.0,
closedApp,,1749176587.5516062,,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1749176729.943543,donatusStudy,Asia/Kolkata,0.0,instagram,Escape / Avoid,1800.0,
openedApp,3.0,1749176746.014289,donatusStudy,Asia/Kolkata,0.0,instagram,Can’t sleep,,
closedApp,,1749176802.309124,,Asia/Kolkata,0.0,instagram,,,
dismissedAppOpening,3.0,1749177463.497339,donatusStudy,Asia/Kolkata,0.0,instagram,,,
dismissedAppOpening,3.0,1749177486.6445951,donatusStudy,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1749177508.3307261,donatusStudy,Asia/Kolkata,0.0,instagram,Can’t sleep,1800.0,
closedApp,,1749177575.4718199,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749177618.263175,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749177672.550437,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749177704.2558122,,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1749177912.8823729,donatusStudy,Asia/Kolkata,0.0,instagram,Relax,1800.0,
closedApp,,1749178016.803124,,Asia/Kolkata,0.0,instagram,,,
