timestamp,interventionType,app,isReIntervention,timezone,interventionDuration,resolution,timeIntervalUntilReIntervention
1753300735.4510431,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,900.0
1753303418.868073,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1200.0
1753304740.698775,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1200.0
1753319549.4083672,askForTimeLimit,instagram,False,Asia/Kolkata,6,dismissedAppOpening,
1753319628.373642,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1260.0
1753339232.081297,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1080.0
1753341327.4981499,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,960.0
1753353124.4199572,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,960.0
1753353498.768476,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1140.0
1753356249.634852,breathingExercise,instagram,False,Asia/Kolkata,6,openedApp,1200.0
1753356740.638407,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1380.0
1753369733.759687,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1380.0
1753380962.108862,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1440.0
1753381571.604967,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1320.0
1753382917.425149,breathingExercise,instagram,True,Asia/Kolkata,6,openedApp,1200.0
1753383140.4613419,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1260.0
1753383527.313354,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,900.0
1753384519.53636,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1020.0
1753427018.564969,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1440.0
1753429330.833461,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1320.0
1753430691.71752,breathingExercise,instagram,True,Asia/Kolkata,6,openedApp,1320.0
1753435093.86776,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1320.0
