timestamp,timezone,interventionType,interventionDuration,resolution,isReIntervention,app
1750168939.825856,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750169355.202787,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750170099.3378491,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750171100.9819741,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750171554.113267,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750172239.923973,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750172748.80721,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750174030.423635,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1750174041.276709,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750190692.612572,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750193466.299371,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1750193483.988353,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750194129.582967,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750194635.287858,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750195197.5663161,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750195515.872035,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750196342.692179,America/Bogota,breathingExercise,3,dismissedAppOpening,False,tikTok
1750196419.7362561,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750196493.44108,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1750196932.5929332,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750198042.5654259,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1750198401.103368,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750198803.824028,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750201285.240786,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750201598.02823,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750201895.553585,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750202538.1122088,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750210481.6204,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750210715.311229,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750211732.4901981,America/Bogota,breathingExercise,3,openedApp,False,instagram
