timezone,interventionType,isReIntervention,timeIntervalUntilReIntervention,interventionDuration,app,timestamp,resolution
Europe/Berlin,breathingExercise,False,480.0,3,instagram,1753197948.284484,openedApp
Europe/Berlin,breathingExercise,False,360.0,3,instagram,1753199331.1880121,openedApp
Europe/Berlin,breathingExercise,True,420.0,3,instagram,1753199705.039639,openedApp
Europe/Berlin,breathingExercise,True,900.0,3,instagram,1753200135.5877318,openedApp
Europe/Berlin,breathingExercise,False,120.0,3,instagram,1753201047.018748,openedApp
Europe/Berlin,breathingExercise,False,480.0,3,instagram,1753202005.754216,openedApp
Europe/Berlin,breathingExercise,False,300.0,3,instagram,1753203074.531188,openedApp
Europe/Berlin,breathingExercise,True,480.0,3,instagram,1753203407.30159,openedApp
Europe/Berlin,breathingExercise,False,360.0,3,instagram,1753203519.111216,openedApp
Europe/Berlin,breathingExercise,False,480.0,3,instagram,1753207071.4825401,openedApp
Europe/Berlin,breathingExercise,False,600.0,3,instagram,1753207127.310409,openedApp
Europe/Berlin,breathingExercise,False,120.0,3,instagram,1753207203.792733,openedApp
Europe/Berlin,breathingExercise,False,360.0,3,instagram,1753210188.674752,openedApp
Europe/Berlin,breathingExercise,False,540.0,3,instagram,1753210299.921529,openedApp
Europe/Berlin,breathingExercise,False,540.0,3,instagram,1753211234.3272362,openedApp
Europe/Berlin,breathingExercise,False,600.0,3,instagram,1753211397.072167,openedApp
Europe/Berlin,breathingExercise,False,360.0,3,instagram,1753212078.9091048,openedApp
Europe/Berlin,breathingExercise,False,420.0,3,instagram,1753216259.643404,openedApp
Europe/Berlin,breathingExercise,False,360.0,3,instagram,1753217371.776719,openedApp
Europe/Berlin,breathingExercise,False,120.0,3,instagram,1753217481.526438,openedApp
Europe/Berlin,breathingExercise,False,360.0,3,instagram,1753218373.582953,openedApp
Europe/Berlin,breathingExercise,False,360.0,3,instagram,1753218842.6014419,openedApp
Europe/Berlin,breathingExercise,True,900.0,3,instagram,1753219215.259623,openedApp
Europe/Berlin,breathingExercise,False,,3,instagram,1753220788.5739799,dismissedAppOpening
Europe/Berlin,breathingExercise,False,480.0,3,instagram,1753220800.191842,openedApp
Europe/Berlin,breathingExercise,False,540.0,3,instagram,1753222375.85426,openedApp
Europe/Berlin,breathingExercise,False,540.0,3,instagram,1753252263.679604,openedApp
Europe/Berlin,breathingExercise,False,480.0,3,instagram,1753255035.167715,openedApp
Europe/Berlin,breathingExercise,False,480.0,3,instagram,1753256590.354542,openedApp
Europe/Berlin,breathingExercise,False,480.0,3,instagram,1753257795.842866,openedApp
Europe/Berlin,breathingExercise,False,,3,instagram,1753258387.282434,dismissedAppOpening
Europe/Berlin,breathingExercise,False,360.0,3,instagram,1753259143.320636,openedApp
Europe/Berlin,breathingExercise,False,420.0,3,instagram,1753259776.021906,openedApp
Europe/Berlin,breathingExercise,False,480.0,3,instagram,1753259848.258111,openedApp
Europe/Berlin,breathingExercise,False,480.0,3,instagram,1753259929.008671,openedApp
Europe/Berlin,breathingExercise,False,,3,instagram,1753260257.564861,dismissedAppOpening
Europe/Berlin,breathingExercise,False,480.0,3,instagram,1753260368.060244,openedApp
Europe/Berlin,breathingExercise,False,,3,instagram,1753260532.959171,dismissedAppOpening
Europe/Berlin,breathingExercise,False,300.0,3,instagram,1753261188.712419,openedApp
Europe/Berlin,breathingExercise,False,900.0,3,instagram,1753261440.5735111,openedApp
Europe/Berlin,breathingExercise,False,480.0,3,instagram,1753263145.348366,openedApp
Europe/Berlin,breathingExercise,False,360.0,3,instagram,1753266682.138451,openedApp
Europe/Berlin,breathingExercise,False,,3,instagram,1753267384.711771,dismissedAppOpening
Europe/Berlin,breathingExercise,False,180.0,3,instagram,1753269297.838039,openedApp
Europe/Berlin,breathingExercise,False,540.0,3,instagram,1753270364.2535439,openedApp
Europe/Berlin,breathingExercise,False,480.0,3,instagram,1753270433.671873,openedApp
Europe/Berlin,breathingExercise,False,480.0,3,instagram,1753270454.134042,openedApp
Europe/Berlin,breathingExercise,False,540.0,3,instagram,1753271343.075371,openedApp
Europe/Berlin,breathingExercise,False,540.0,3,instagram,1753273600.397053,openedApp
Europe/Berlin,breathingExercise,False,480.0,3,instagram,1753274784.7231789,openedApp
Europe/Berlin,breathingExercise,False,900.0,3,instagram,1753274927.185598,openedApp
Europe/Berlin,breathingExercise,False,480.0,3,instagram,1753275012.04112,openedApp
Europe/Berlin,breathingExercise,False,420.0,3,instagram,1753275304.5112739,openedApp
Europe/Berlin,breathingExercise,False,600.0,3,instagram,1753279354.123241,openedApp
Europe/Berlin,breathingExercise,False,540.0,3,instagram,1753279524.221282,openedApp
Europe/Berlin,breathingExercise,False,660.0,3,instagram,1753279799.474263,openedApp
Europe/Berlin,breathingExercise,False,420.0,3,instagram,1753279899.1408439,openedApp
Europe/Berlin,breathingExercise,False,420.0,3,instagram,1753280290.92177,openedApp
Europe/Berlin,breathingExercise,True,480.0,3,instagram,1753280733.198744,openedApp
Europe/Berlin,breathingExercise,False,540.0,3,instagram,1753292152.528085,openedApp
Europe/Berlin,breathingExercise,False,540.0,3,instagram,1753292242.6809778,openedApp
Europe/Berlin,breathingExercise,False,,3,instagram,1753292421.8620539,dismissedAppOpening
Europe/Berlin,breathingExercise,False,540.0,3,instagram,1753292461.010742,openedApp
Europe/Berlin,breathingExercise,False,540.0,3,instagram,1753295909.9670072,openedApp
Europe/Berlin,breathingExercise,False,540.0,3,instagram,1753297032.0477061,openedApp
Europe/Berlin,breathingExercise,False,480.0,3,instagram,1753298210.721774,openedApp
Europe/Berlin,breathingExercise,False,540.0,3,instagram,1753300468.99866,openedApp
Europe/Berlin,breathingExercise,False,480.0,3,instagram,1753305921.061549,openedApp
Europe/Berlin,breathingExercise,False,540.0,3,instagram,1753306285.730803,openedApp
Europe/Berlin,breathingExercise,False,360.0,3,instagram,1753307359.170537,openedApp
Europe/Berlin,breathingExercise,False,480.0,3,instagram,1753308320.2441258,openedApp
Europe/Berlin,breathingExercise,True,900.0,3,instagram,1753308815.4970698,openedApp
Europe/Berlin,breathingExercise,False,60.0,3,instagram,1753310535.339418,openedApp
Europe/Berlin,breathingExercise,False,480.0,3,instagram,1753342376.138708,openedApp
Europe/Berlin,breathingExercise,False,240.0,3,instagram,1753343384.022944,openedApp
Europe/Berlin,breathingExercise,False,300.0,3,instagram,1753344769.456801,openedApp
Europe/Berlin,breathingExercise,False,480.0,3,instagram,1753346499.074181,openedApp
Europe/Berlin,breathingExercise,False,540.0,3,instagram,1753347189.8983169,openedApp
