resolution,isReIntervention,timestamp,timezone,app,interventionDuration,interventionType
openedApp,False,1751949174.413178,America/Sao_Paulo,instagram,,
closedApp,False,1751949354.413178,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751949354.413178,America/Sao_Paulo,instagram,,
openedApp,False,1751967427.8440619,America/Sao_Paulo,instagram,,
closedApp,False,1751967607.844063,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751967607.844063,America/Sao_Paulo,instagram,,
openedApp,False,1751976165.2813811,America/Sao_Paulo,instagram,,
closedApp,False,1751976345.2813811,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751976345.2813811,America/Sao_Paulo,instagram,,
openedApp,False,1751979032.860269,America/Sao_Paulo,instagram,,
closedApp,False,1751979212.860269,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751979212.86027,America/Sao_Paulo,instagram,,
openedApp,False,1751981021.260896,America/Sao_Paulo,instagram,,
closedApp,False,1751981201.260896,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751981201.260896,America/Sao_Paulo,instagram,,
openedApp,False,1752006754.165735,America/Sao_Paulo,instagram,,
closedApp,False,1752006934.165735,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752006934.165735,America/Sao_Paulo,instagram,,
openedApp,False,1752017286.877832,America/Sao_Paulo,instagram,,
closedApp,False,1752017466.877832,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752017466.877832,America/Sao_Paulo,instagram,,
openedApp,False,1752032745.2800941,America/Sao_Paulo,instagram,,
closedApp,False,1752032925.2800941,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752032925.2800941,America/Sao_Paulo,instagram,,
openedApp,False,1752071789.306906,America/Sao_Paulo,instagram,,
closedApp,False,1752071969.3069072,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752071969.3069072,America/Sao_Paulo,instagram,,
openedApp,False,1752074934.2990708,America/Sao_Paulo,instagram,,
closedApp,False,1752075114.299072,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752075114.299072,America/Sao_Paulo,instagram,,
openedApp,False,1752096438.932983,America/Sao_Paulo,instagram,,
closedApp,False,1752096618.932983,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752096618.932983,America/Sao_Paulo,instagram,,
openedApp,False,1752111955.680831,America/Sao_Paulo,instagram,,
closedApp,False,1752112135.680831,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752112135.680831,America/Sao_Paulo,instagram,,
openedApp,False,1752145608.1222548,America/Sao_Paulo,instagram,,
closedApp,False,1752145788.1222548,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752145788.1222548,America/Sao_Paulo,instagram,,
openedApp,False,1752153237.156693,America/Sao_Paulo,instagram,,
closedApp,False,1752153417.156694,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752153417.156694,America/Sao_Paulo,instagram,,
openedApp,False,1752165225.716562,America/Sao_Paulo,instagram,,
closedApp,False,1752165405.716562,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752165405.716562,America/Sao_Paulo,instagram,,
openedApp,False,1752175945.408221,America/Sao_Paulo,instagram,,
closedApp,False,1752176125.408221,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752176125.408221,America/Sao_Paulo,instagram,,
openedApp,False,1752190975.196343,America/Sao_Paulo,instagram,,
closedApp,False,1752191155.196343,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752191155.196343,America/Sao_Paulo,instagram,,
openedApp,False,1752193186.722426,America/Sao_Paulo,instagram,,
closedApp,False,1752193366.722426,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752193366.722426,America/Sao_Paulo,instagram,,
openedApp,False,1752204358.277628,America/Sao_Paulo,instagram,,
closedApp,False,1752204538.277628,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752204538.277628,America/Sao_Paulo,instagram,,
openedApp,False,1752232825.0672011,America/Sao_Paulo,instagram,,
closedApp,False,1752233005.0672011,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752233005.0672011,America/Sao_Paulo,instagram,,
openedApp,False,1752234524.8434901,America/Sao_Paulo,instagram,,
closedApp,False,1752234704.8434901,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752234704.8434901,America/Sao_Paulo,instagram,,
openedApp,False,1752241298.204432,America/Sao_Paulo,instagram,,
closedApp,False,1752241478.204432,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752241478.204433,America/Sao_Paulo,instagram,,
openedApp,False,1752245712.577001,America/Sao_Paulo,instagram,,
closedApp,False,1752245892.577002,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752245892.577002,America/Sao_Paulo,instagram,,
openedApp,False,1752257089.645175,America/Sao_Paulo,instagram,,
closedApp,False,1752257269.645175,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752257269.645175,America/Sao_Paulo,instagram,,
openedApp,False,1752262728.838111,America/Sao_Paulo,instagram,,
closedApp,False,1752262908.838111,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752262908.838111,America/Sao_Paulo,instagram,,
openedApp,False,1752265716.675815,America/Sao_Paulo,instagram,,
closedApp,False,1752265896.675815,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752265896.675815,America/Sao_Paulo,instagram,,
openedApp,False,1752268632.158033,America/Sao_Paulo,instagram,,
closedApp,False,1752268812.158033,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752268812.1580338,America/Sao_Paulo,instagram,,
openedApp,False,1752272479.253077,America/Sao_Paulo,instagram,,
closedApp,False,1752272659.253077,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752272659.253077,America/Sao_Paulo,instagram,,
openedApp,False,1752294805.71507,America/Sao_Paulo,instagram,,
closedApp,False,1752294985.71507,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752294985.71507,America/Sao_Paulo,instagram,,
openedApp,False,1752331930.119189,America/Sao_Paulo,instagram,,
closedApp,False,1752332110.119189,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752332110.119189,America/Sao_Paulo,instagram,,
openedApp,False,1752344657.4517179,America/Sao_Paulo,instagram,,
closedApp,False,1752344837.4517179,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752344837.4517179,America/Sao_Paulo,instagram,,
openedApp,False,1752382184.916953,America/Sao_Paulo,instagram,,
closedApp,False,1752382364.916953,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752382364.916953,America/Sao_Paulo,instagram,,
openedApp,False,1752427391.5558538,America/Sao_Paulo,instagram,,
closedApp,False,1752427571.5558538,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752427571.5558538,America/Sao_Paulo,instagram,,
openedApp,False,1752432635.112334,America/Sao_Paulo,instagram,,
closedApp,False,1752432815.112334,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752432815.112334,America/Sao_Paulo,instagram,,
openedApp,False,1752434187.946944,America/Sao_Paulo,instagram,,
closedApp,False,1752434367.946944,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752434367.946944,America/Sao_Paulo,instagram,,
openedApp,False,1752441983.0050821,America/Sao_Paulo,instagram,,
closedApp,False,1752442163.005083,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752442163.005083,America/Sao_Paulo,instagram,,
openedApp,False,1752447666.95756,America/Sao_Paulo,instagram,,
closedApp,False,1752447846.95756,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752447846.95756,America/Sao_Paulo,instagram,,
openedApp,False,1752450802.7041621,America/Sao_Paulo,instagram,,
closedApp,False,1752450982.7041621,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752450982.7041621,America/Sao_Paulo,instagram,,
openedApp,False,1752453536.625356,America/Sao_Paulo,instagram,,
closedApp,False,1752453716.625356,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752453716.625356,America/Sao_Paulo,instagram,,
openedApp,False,1752486616.149737,America/Sao_Paulo,instagram,,
closedApp,False,1752486796.149737,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752486796.149737,America/Sao_Paulo,instagram,,
openedApp,False,1752492332.4678822,America/Sao_Paulo,instagram,,
closedApp,False,1752492512.4678822,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752492512.4678822,America/Sao_Paulo,instagram,,
openedApp,False,1752494963.195945,America/Sao_Paulo,instagram,,
closedApp,False,1752495143.195945,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752495143.195945,America/Sao_Paulo,instagram,,
openedApp,False,1752498514.50289,America/Sao_Paulo,instagram,,
closedApp,False,1752498694.50289,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752498694.50289,America/Sao_Paulo,instagram,,
openedApp,False,1752503318.222553,America/Sao_Paulo,instagram,,
