resolution,timestamp,interventionDuration,interventionType,timezone,isReIntervention,app,timeIntervalUntilReIntervention
openedApp,1752930934.1719608,6,askForTimeLimit,Europe/Paris,False,instagram,1380.0
openedApp,1752935469.185363,6,askForTimeLimit,Europe/Paris,False,instagram,1620.0
openedApp,1752945613.71024,6,askForTimeLimit,Europe/Paris,False,instagram,600.0
openedApp,1752949408.948951,6,askForTimeLimit,Europe/Paris,False,instagram,1560.0
openedApp,1752954327.162146,6,askForTimeLimit,Europe/Paris,False,instagram,840.0
openedApp,1752958419.132359,6,askForTimeLimit,Europe/Paris,False,instagram,1260.0
openedApp,1752972684.3377829,6,askForTimeLimit,Europe/Paris,False,instagram,720.0
openedApp,1752973696.158392,6,breathingExercise,Europe/Paris,True,instagram,1980.0
openedApp,1753003861.565594,6,askForTimeLimit,Europe/Paris,False,instagram,1080.0
openedApp,1753009782.403142,6,askForTimeLimit,Europe/Paris,False,instagram,1440.0
openedApp,1753010142.536706,6,askForTimeLimit,Europe/Paris,False,instagram,1080.0
openedApp,1753018903.5889292,6,askForTimeLimit,Europe/Paris,False,instagram,1140.0
dismissedAppOpening,1753021545.741445,6,askForTimeLimit,Europe/Paris,False,instagram,
openedApp,1753021707.4539552,6,askForTimeLimit,Europe/Paris,False,instagram,480.0
openedApp,1753024348.82302,6,askForTimeLimit,Europe/Paris,False,instagram,1560.0
openedApp,1753024532.880618,6,askForTimeLimit,Europe/Paris,False,instagram,1080.0
openedApp,1753024862.7383552,6,askForTimeLimit,Europe/Paris,False,instagram,1380.0
openedApp,1753025000.7796931,6,askForTimeLimit,Europe/Paris,False,instagram,1500.0
openedApp,1753025185.067169,6,askForTimeLimit,Europe/Paris,False,instagram,1260.0
openedApp,1753025328.3019428,6,askForTimeLimit,Europe/Paris,False,instagram,360.0
openedApp,1753026084.197263,6,askForTimeLimit,Europe/Paris,False,instagram,1440.0
openedApp,1753026213.302295,6,askForTimeLimit,Europe/Paris,False,instagram,1380.0
openedApp,1753030757.1023932,6,askForTimeLimit,Europe/Paris,False,instagram,900.0
openedApp,1753033168.6802812,6,askForTimeLimit,Europe/Paris,False,instagram,1200.0
openedApp,1753036714.3423991,6,askForTimeLimit,Europe/Paris,False,instagram,1200.0
openedApp,1753038463.926776,6,askForTimeLimit,Europe/Paris,False,instagram,1140.0
openedApp,1753045470.775072,6,askForTimeLimit,Europe/Paris,False,instagram,840.0
openedApp,1753047249.7083778,6,askForTimeLimit,Europe/Paris,False,instagram,840.0
openedApp,1753048862.8866649,6,askForTimeLimit,Europe/Paris,False,instagram,720.0
openedApp,1753049755.372344,6,breathingExercise,Europe/Paris,True,instagram,660.0
openedApp,1753079779.255271,6,askForTimeLimit,Europe/Paris,False,instagram,660.0
openedApp,1753083049.281234,6,askForTimeLimit,Europe/Paris,False,instagram,900.0
openedApp,1753083625.81221,6,askForTimeLimit,Europe/Paris,False,instagram,540.0
openedApp,1753084037.8165321,6,askForTimeLimit,Europe/Paris,False,instagram,1260.0
openedApp,1753085559.2399058,6,askForTimeLimit,Europe/Paris,False,instagram,1140.0
openedApp,1753086109.831038,6,askForTimeLimit,Europe/Paris,False,instagram,1500.0
dismissedAppOpening,1753093523.441029,6,askForTimeLimit,Europe/Paris,False,instagram,
openedApp,1753093526.726876,6,askForTimeLimit,Europe/Paris,False,instagram,840.0
openedApp,1753096569.3420448,6,askForTimeLimit,Europe/Paris,False,instagram,840.0
openedApp,1753097837.7373428,6,askForTimeLimit,Europe/Paris,False,instagram,960.0
openedApp,1753099369.3418589,6,askForTimeLimit,Europe/Paris,False,instagram,960.0
