isReIntervention,interventionType,timezone,app,resolution,timestamp,interventionDuration,purpose
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749658456.698948,6,
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749658715.402873,6,
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749658983.5929,6,
False,breathingExercise,America/Chicago,instagram,openedApp,1749659536.986899,6,Check likes
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749660341.7659988,6,
False,breathingExercise,America/Chicago,instagram,openedApp,1749660368.1911402,6,Check likes
False,breathingExercise,America/Chicago,instagram,openedApp,1749661050.233757,6,Post something
False,breathingExercise,America/Chicago,tikTok,openedApp,1749661865.53918,6,Check likes
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749664303.343429,6,
False,breathingExercise,America/Chicago,instagram,openedApp,1749664331.0901918,6,Check likes
False,breathingExercise,America/Chicago,tikTok,openedApp,1749664503.585746,6,Search Info
False,breathingExercise,America/Chicago,instagram,openedApp,1749670266.922271,6,Check likes
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749672352.228308,6,
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749672355.487076,6,
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749672964.752439,6,
False,breathingExercise,America/Chicago,tikTok,dismissedAppOpening,1749673822.3518739,6,
False,breathingExercise,America/Chicago,tikTok,openedApp,1749674127.119086,6,Post something
False,breathingExercise,America/Chicago,tikTok,dismissedAppOpening,1749674709.0175328,6,
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749684940.94098,6,
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749688988.3415198,6,
False,breathingExercise,America/Chicago,tikTok,openedApp,1749694656.6933231,6,Post something
False,breathingExercise,America/Chicago,tikTok,openedApp,1749694855.874449,6,Relax
False,breathingExercise,America/Chicago,tikTok,dismissedAppOpening,1749695398.114131,6,
False,breathingExercise,America/Chicago,instagram,openedApp,1749696068.702156,6,Post something
False,breathingExercise,America/Chicago,instagram,openedApp,1749733066.578515,6,Post something
False,breathingExercise,America/Chicago,tikTok,openedApp,1749733600.5799,6,Relax
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749734174.8323278,6,
False,breathingExercise,America/Chicago,tikTok,dismissedAppOpening,1749735101.0711288,6,
False,breathingExercise,America/Chicago,tikTok,openedApp,1749735125.075591,6,Entertainment
False,breathingExercise,America/Chicago,instagram,openedApp,1749748569.4096909,6,Check likes
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749748716.668997,6,
False,breathingExercise,America/Chicago,tikTok,openedApp,1749750528.053199,6,Check likes
False,breathingExercise,America/Chicago,tikTok,openedApp,1749757028.981642,6,Search Info
False,breathingExercise,America/Chicago,instagram,openedApp,1749768183.672492,6,Relax
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749768750.577352,6,
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749772056.772543,6,
False,breathingExercise,America/Chicago,instagram,openedApp,1749780536.2543569,6,Relax
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749781067.893589,6,
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749781543.624442,6,
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749824546.7243052,6,
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749825872.2694879,6,
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749825875.709707,6,
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749826007.0986261,6,
False,breathingExercise,America/Chicago,tikTok,openedApp,1749841159.177155,6,Check likes
False,breathingExercise,America/Chicago,tikTok,openedApp,1749841515.789021,6,Check likes
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749845395.458746,6,
False,breathingExercise,America/Chicago,instagram,openedApp,1749845412.19523,6,Check likes
False,breathingExercise,America/Chicago,instagram,openedApp,1749846559.2275639,6,Check likes
False,breathingExercise,America/Chicago,instagram,openedApp,1749847250.85786,6,Check likes
False,breathingExercise,America/Chicago,instagram,openedApp,1749865960.496004,6,Check likes
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749877859.508438,6,
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749927434.251824,6,
False,breathingExercise,America/Chicago,instagram,openedApp,1749997085.031749,6,Check likes
False,breathingExercise,America/Chicago,instagram,openedApp,1750005344.06383,6,Check likes
False,breathingExercise,America/Chicago,instagram,openedApp,1750007140.936521,6,Check likes
