interventionDuration,timezone,interventionType,timestamp,resolution,app,isReIntervention
6,Europe/Madrid,breathingExercise,1749886875.770128,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749886970.275491,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749887751.950793,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749887884.871635,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749894280.084235,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749896205.522931,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749902181.2118921,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749909602.366962,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749909632.765823,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749924545.825086,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749925372.977422,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749925589.4956841,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749925836.661367,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749926065.1979542,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749927203.494066,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749927402.339449,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749927421.0810962,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749927698.128865,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749928364.822443,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749928615.541053,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749928669.39142,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749929995.28371,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749930720.110434,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749933132.034625,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749933932.850111,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749967348.8668342,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749972690.439285,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749980110.750354,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749981544.348446,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749993868.102363,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749995769.012564,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749997670.036511,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1750007648.829124,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1750008075.7975268,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1750008437.620472,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1750008644.796719,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1750010891.7033849,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1750011670.820545,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1750015494.424735,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1750015576.278696,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1750015993.8265882,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1750016046.614149,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1750018234.8543072,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1750018830.3420029,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1750052624.7302961,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1750053283.429889,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1750053304.1481571,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1750053615.9550328,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1750059171.643481,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1750064399.934939,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1750064480.801485,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1750064655.1598492,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1750064976.6026978,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1750065023.4061651,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1750066025.96588,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1750067175.7951531,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1750071542.76026,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1750077609.830729,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1750077935.0561461,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1750078006.668051,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1750078469.5570521,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1750080816.1969829,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1750081367.123677,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1750082062.175156,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1750083354.53704,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1750083366.582181,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1750083406.458974,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1750086747.876951,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1750086818.441129,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1750089060.0498152,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1750089277.190177,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1750089280.358389,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1750091982.258494,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1750093139.090238,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1750101536.592494,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1750102302.462378,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1750106942.365484,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1750137004.399592,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1750138088.44235,openedApp,instagram,False
