resolution,timestamp,app,interventionDuration,timezone,isReIntervention,interventionType
closedApp,1753145430.8628678,youtube,,Asia/Kolkata,False,
closedApp,1753145443.777185,youtube,,Asia/Kolkata,False,
closedApp,1753145446.237471,youtube,,Asia/Kolkata,False,
closedApp,1753145556.512198,youtube,,Asia/Kolkata,False,
closedApp,1753146799.562721,youtube,,Asia/Kolkata,False,
closedApp,1753147383.4991112,youtube,,Asia/Kolkata,False,
closedApp,1753147981.596344,youtube,,Asia/Kolkata,False,
closedApp,1753152479.7966099,youtube,,Asia/Kolkata,False,
closedApp,1753152702.691504,youtube,,Asia/Kolkata,False,
closedApp,1753180181.762537,youtube,,Asia/Kolkata,False,
closedApp,1753180997.9625201,youtube,,Asia/Kolkata,False,
closedApp,1753181020.6533952,youtube,,Asia/Kolkata,False,
closedApp,1753181043.304352,youtube,,Asia/Kolkata,False,
closedApp,1753181054.940032,youtube,,Asia/Kolkata,False,
closedApp,1753181397.071896,youtube,,Asia/Kolkata,False,
closedApp,1753181763.2367811,youtube,,Asia/Kolkata,False,
closedApp,1753182480.4898071,youtube,,Asia/Kolkata,False,
closedApp,1753183595.84533,youtube,,Asia/Kolkata,False,
closedApp,1753183603.893152,youtube,,Asia/Kolkata,False,
openedApp,1753185587.095831,youtube,6.0,Asia/Kolkata,False,breathingExercise
dismissedAppOpening,1753186123.3692842,youtube,6.0,Asia/Kolkata,False,breathingExercise
openedApp,1753189986.2701778,youtube,6.0,Asia/Kolkata,False,breathingExercise
dismissedAppOpening,1753240183.5881371,youtube,6.0,Asia/Kolkata,False,breathingExercise
openedApp,1753242967.536717,youtube,6.0,Asia/Kolkata,False,breathingExercise
openedApp,1753247182.671951,youtube,6.0,Asia/Kolkata,False,breathingExercise
openedApp,1753251424.268381,youtube,6.0,Asia/Kolkata,False,breathingExercise
openedApp,1753253780.7184129,youtube,6.0,Asia/Kolkata,False,breathingExercise
openedApp,1753254239.3492022,youtube,6.0,Asia/Kolkata,False,breathingExercise
openedApp,1753254513.021106,youtube,6.0,Asia/Kolkata,False,breathingExercise
dismissedAppOpening,1753256730.6744661,youtube,6.0,Asia/Kolkata,False,breathingExercise
