resolution,timezone,timestamp,interventionType,isReIntervention,interventionDuration,app
openedApp,America/Mexico_City,1750438545.4400768,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750439018.262763,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750439158.944726,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750443596.507742,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750446131.3264809,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1750446514.016625,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750447605.501059,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750449381.401071,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1750450933.667736,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750451041.296403,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750453295.880858,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1750461985.5354881,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750462003.82411,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750467340.365148,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750471742.435804,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750560289.984019,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750563471.302829,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750569371.3393679,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1750569466.919333,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750569489.646739,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1750609965.3742862,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750610026.296609,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750625575.3919811,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750634595.700397,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1750635712.111059,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750636720.141115,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750641058.4401488,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750643990.223079,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750644109.797688,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750645824.810433,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750649047.927242,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750649893.828948,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750657435.0884008,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750658901.902235,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750703298.7727041,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750718460.9905648,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750721752.0629768,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750726294.9303021,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750735023.918913,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750749188.139741,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750775598.614846,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750781066.450733,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750784073.522375,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1750785832.228003,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750803383.0933251,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750809987.051285,breathingExercise,False,6,instagram
