interventionDuration,app,resolution,isReIntervention,timezone,interventionType,timestamp,timeIntervalUntilReIntervention,purpose
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1752054221.920057,,
,instagram,openedApp,False,Asia/Kolkata,,1752054298.606539,,
,instagram,closedApp,False,Asia/Kolkata,,1752054358.606539,,
,instagram,dismissedAppOpening,False,Asia/Kolkata,,1752054358.606539,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1752054449.154519,,
6.0,instagram,dismissedAppOpening,False,Asia/Kolkata,breathingExercise,1752055026.336802,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1752055846.6745071,,
,instagram,openedApp,False,Asia/Kolkata,,1752057674.064091,,
,instagram,closedApp,False,Asia/Kolkata,,1752057734.064091,,
,instagram,dismissedAppOpening,False,Asia/Kolkata,,1752057734.064091,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1752060578.177558,,
,instagram,openedApp,False,Asia/Kolkata,,1752060605.220402,,
,instagram,closedApp,False,Asia/Kolkata,,1752060665.220403,,
,instagram,dismissedAppOpening,False,Asia/Kolkata,,1752060665.220403,,
,instagram,openedApp,False,Asia/Kolkata,,1752069141.3408508,,
,instagram,closedApp,False,Asia/Kolkata,,1752069201.340852,,
,instagram,dismissedAppOpening,False,Asia/Kolkata,,1752069201.340852,,
6.0,instagram,dismissedAppOpening,False,Asia/Kolkata,breathingExercise,1752069210.331713,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1752069234.537634,,
,instagram,openedApp,False,Asia/Kolkata,,1752072031.126915,,
,instagram,closedApp,False,Asia/Kolkata,,1752072091.126916,,
,instagram,dismissedAppOpening,False,Asia/Kolkata,,1752072091.126916,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1752073616.335269,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1752073708.413806,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1752074402.7774482,,
