interventionType,app,interventionDuration,timestamp,isReIntervention,resolution,timezone,purpose
,youtube,,1749827316.362869,False,closedApp,Asia/Kolkata,
,youtube,,1749839873.8467379,False,closedApp,Asia/Kolkata,
,youtube,,1749840206.386856,False,closedApp,Asia/Kolkata,
,youtube,,1749840822.532593,False,closedApp,Asia/Kolkata,
,youtube,,1749841088.9202929,False,closedApp,Asia/Kolkata,
,youtube,,1749846049.5756779,False,closedApp,Asia/Kolkata,
,youtube,,1749847308.006,False,closedApp,Asia/Kolkata,
,youtube,,1749927674.928931,False,closedApp,Asia/Kolkata,
,youtube,,1749927958.263873,False,closedApp,Asia/Kolkata,
,youtube,,1749928843.267595,False,closedApp,Asia/Kolkata,
,youtube,,1749928860.479214,False,closedApp,Asia/Kolkata,
,youtube,,1749929493.270546,False,closedApp,Asia/Kolkata,
,youtube,,1749933430.6868792,False,closedApp,Asia/Kolkata,
,youtube,,1749934733.974376,False,closedApp,Asia/Kolkata,
,youtube,,1749936341.660681,False,closedApp,Asia/Kolkata,
,youtube,,1749964540.910781,False,closedApp,Asia/Kolkata,
,youtube,,1749966165.905329,False,closedApp,Asia/Kolkata,
,youtube,,1749967356.007721,False,closedApp,Asia/Kolkata,
,youtube,,1749969268.183206,False,closedApp,Asia/Kolkata,
,youtube,,1749971037.538961,False,closedApp,Asia/Kolkata,
,youtube,,1749996576.289684,False,closedApp,Asia/Kolkata,
,youtube,,1749998059.9874911,False,closedApp,Asia/Kolkata,
,youtube,,1750004466.259155,False,closedApp,Asia/Kolkata,
,youtube,,1750021232.0079799,False,closedApp,Asia/Kolkata,
,youtube,,1750023235.5843282,False,closedApp,Asia/Kolkata,
,youtube,,1750080065.282607,False,closedApp,Asia/Kolkata,
,youtube,,1750085053.208641,False,closedApp,Asia/Kolkata,
,youtube,,1750103611.516872,False,closedApp,Asia/Kolkata,
,youtube,,1750163044.2036839,False,closedApp,Asia/Kolkata,
,youtube,,1750163044.25102,False,closedApp,Asia/Kolkata,
,youtube,,1750163236.6961288,False,closedApp,Asia/Kolkata,
,youtube,,1750164259.490071,False,closedApp,Asia/Kolkata,
,youtube,,1750166850.8924608,False,closedApp,Asia/Kolkata,
,youtube,,1750169267.6039438,False,closedApp,Asia/Kolkata,
,youtube,,1750170000.780919,False,closedApp,Asia/Kolkata,
,youtube,,1750174515.6736,False,closedApp,Asia/Kolkata,
,youtube,,1750178492.566658,False,closedApp,Asia/Kolkata,
breathingExercise,youtube,6.0,1750254126.152873,False,dismissedAppOpening,Asia/Kolkata,
