interventionType,isReIntervention,timezone,interventionDuration,timestamp,resolution,app,purpose,timeIntervalUntilReIntervention
breathingExercise,False,Asia/Kolkata,6.0,1752919890.170125,dismissedAppOpening,instagram,,
breathingExercise,False,Asia/Kolkata,6.0,1752920126.023326,openedApp,instagram,Escape / Avoid,
breathingExercise,False,Asia/Kolkata,6.0,1752920746.3491402,openedApp,instagram,Entertainment,
,False,Asia/Kolkata,,1752920748.4214768,openedApp,instagram,,
,False,Asia/Kolkata,,1752920928.421478,closedApp,instagram,,
,False,Asia/Kolkata,,1752920928.421478,dismissedAppOpening,instagram,,
breathingExercise,False,Asia/Kolkata,6.0,1752926577.058728,openedApp,instagram,Escape / Avoid,
,False,Asia/Kolkata,,1752926759.656477,openedApp,instagram,,
,False,Asia/Kolkata,,1752926939.656478,closedApp,instagram,,
,False,Asia/Kolkata,,1752926939.656478,dismissedAppOpening,instagram,,
breathingExercise,False,Asia/Kolkata,6.0,1752926965.800678,openedApp,instagram,Escape / Avoid,
breathingExercise,False,Asia/Kolkata,6.0,1752932340.502369,dismissedAppOpening,instagram,,
breathingExercise,False,Asia/Kolkata,6.0,1752932953.999724,openedApp,instagram,Message,
,False,Asia/Kolkata,,1752937567.385201,openedApp,instagram,,
,False,Asia/Kolkata,,1752937747.385202,closedApp,instagram,,
,False,Asia/Kolkata,,1752937747.385202,dismissedAppOpening,instagram,,
breathingExercise,False,Asia/Kolkata,6.0,1752938044.628232,openedApp,youtube,Escape / Avoid,
breathingExercise,False,Asia/Kolkata,6.0,1752954471.972606,openedApp,instagram,Message,
breathingExercise,False,Asia/Kolkata,6.0,1752955094.4783192,openedApp,instagram,Message,
breathingExercise,False,Asia/Kolkata,6.0,1752955350.516313,openedApp,instagram,Message,
breathingExercise,False,Asia/Kolkata,6.0,1752978478.022568,openedApp,youtube,Escape / Avoid,
breathingExercise,False,Asia/Kolkata,6.0,1752978767.823098,openedApp,youtube,Bored,
breathingExercise,False,Asia/Kolkata,6.0,1752979370.3660989,openedApp,youtube,Relax,
breathingExercise,False,Asia/Kolkata,6.0,1752979792.296976,openedApp,youtube,Entertainment,
breathingExercise,False,Asia/Kolkata,6.0,1752992266.725923,openedApp,instagram,Message,
,False,Asia/Kolkata,,1752994978.32639,openedApp,youtube,,
,False,Asia/Kolkata,,1752995098.32639,closedApp,youtube,,
,False,Asia/Kolkata,,1752995098.326391,dismissedAppOpening,youtube,,
breathingExercise,False,Asia/Kolkata,6.0,1752995839.3567162,openedApp,instagram,Entertainment,
breathingExercise,False,Asia/Kolkata,6.0,1752997271.8124518,openedApp,instagram,Message,
breathingExercise,False,Asia/Kolkata,6.0,1753000763.099366,openedApp,instagram,Escape / Avoid,
breathingExercise,False,Asia/Kolkata,6.0,1753001219.037009,openedApp,instagram,Entertainment,
breathingExercise,False,Asia/Kolkata,6.0,1753001965.070962,openedApp,instagram,Entertainment,
breathingExercise,False,Asia/Kolkata,6.0,1753001965.469054,dismissedAppOpening,instagram,,
breathingExercise,False,Asia/Kolkata,6.0,1753002884.726841,openedApp,instagram,Entertainment,
breathingExercise,False,Asia/Kolkata,6.0,1753003491.836142,openedApp,instagram,Escape / Avoid,
breathingExercise,False,Asia/Kolkata,6.0,1753003996.973884,openedApp,instagram,Escape / Avoid,
breathingExercise,False,Asia/Kolkata,6.0,1753004662.1699672,openedApp,instagram,Entertainment,
breathingExercise,False,Asia/Kolkata,6.0,1753005585.414768,openedApp,instagram,Escape / Avoid,
breathingExercise,False,Asia/Kolkata,6.0,1753006563.50523,openedApp,instagram,Escape / Avoid,
,False,Asia/Kolkata,,1753007404.143182,openedApp,instagram,,
,False,Asia/Kolkata,,1753007584.143183,closedApp,instagram,,
,False,Asia/Kolkata,,1753007584.143183,dismissedAppOpening,instagram,,
breathingExercise,False,Asia/Kolkata,6.0,1753013568.190981,openedApp,youtube,Entertainment,
,False,Asia/Kolkata,,1753013990.6117349,openedApp,youtube,,
,False,Asia/Kolkata,,1753014110.6117349,closedApp,youtube,,
,False,Asia/Kolkata,,1753014110.6117349,dismissedAppOpening,youtube,,
,False,Asia/Kolkata,,1753030774.4570432,openedApp,instagram,,
