resolution,interventionDuration,interventionType,timestamp,timezone,timeIntervalUntilReIntervention,app,isReIntervention
openedApp,6.0,askForTimeLimit,1752185666.896319,America/Sao_Paulo,300.0,instagram,False
dismissedAppOpening,6.0,askForTimeLimit,1752185754.774609,America/Sao_Paulo,,instagram,False
openedApp,6.0,askForTimeLimit,1752185760.503068,America/Sao_Paulo,660.0,tikTok,False
openedApp,6.0,askForTimeLimit,1752185967.011888,America/Sao_Paulo,900.0,tikTok,False
openedApp,6.0,askForTimeLimit,1752188871.7042708,America/Sao_Paulo,180.0,instagram,False
openedApp,6.0,askForTimeLimit,1752188933.577307,America/Sao_Paulo,660.0,tikTok,False
openedApp,6.0,askForTimeLimit,1752189096.2467198,America/Sao_Paulo,300.0,instagram,False
openedApp,6.0,askForTimeLimit,1752189224.562722,America/Sao_Paulo,120.0,instagram,False
openedApp,6.0,askForTimeLimit,1752189242.876412,America/Sao_Paulo,540.0,tikTok,False
openedApp,6.0,askForTimeLimit,1752189452.843365,America/Sao_Paulo,180.0,instagram,False
openedApp,6.0,askForTimeLimit,1752189631.263515,America/Sao_Paulo,240.0,instagram,False
openedApp,6.0,askForTimeLimit,1752189699.3119478,America/Sao_Paulo,180.0,tikTok,False
openedApp,6.0,askForTimeLimit,1752189739.646885,America/Sao_Paulo,240.0,instagram,False
dismissedAppOpening,6.0,askForTimeLimit,1752189846.182732,America/Sao_Paulo,,instagram,False
openedApp,6.0,askForTimeLimit,1752189850.365521,America/Sao_Paulo,300.0,instagram,False
openedApp,6.0,askForTimeLimit,1752189916.6717281,America/Sao_Paulo,1500.0,tikTok,False
openedApp,6.0,askForTimeLimit,1752189926.208082,America/Sao_Paulo,300.0,instagram,False
openedApp,6.0,askForTimeLimit,1752191065.215471,America/Sao_Paulo,180.0,instagram,False
openedApp,6.0,askForTimeLimit,1752191486.369131,America/Sao_Paulo,1200.0,tikTok,False
openedApp,6.0,breathingExercise,1752192709.6951141,America/Sao_Paulo,2400.0,tikTok,True
openedApp,6.0,askForTimeLimit,1752194281.4644861,America/Sao_Paulo,300.0,instagram,False
dismissedAppOpening,6.0,askForTimeLimit,1752194370.4569821,America/Sao_Paulo,,tikTok,False
openedApp,6.0,askForTimeLimit,1752194416.725436,America/Sao_Paulo,240.0,instagram,False
