resolution,timezone,timestamp,interventionType,timeIntervalUntilReIntervention,isReIntervention,interventionDuration,app,purpose
openedApp,Europe/Berlin,1751962863.409964,askForTimeLimit,300.0,False,6,instagram,
openedApp,Europe/Berlin,1751963191.3072019,askForTimeLimit,420.0,False,6,tikTok,
openedApp,Europe/Berlin,1751963714.489778,askForTimeLimit,660.0,False,6,instagram,
dismissedAppOpening,Europe/Berlin,1751964059.4732141,askForTimeLimit,,False,6,instagram,
openedApp,Europe/Berlin,1751964097.7285209,askForTimeLimit,480.0,False,6,instagram,
openedApp,Europe/Berlin,1751964606.1481729,breathingExercise,900.0,False,6,instagram,a
openedApp,Europe/Berlin,1751965223.288272,askForTimeLimit,660.0,False,6,tikTok,
openedApp,Europe/Berlin,1751966242.090107,askForTimeLimit,600.0,False,6,tikTok,
openedApp,Europe/Berlin,1751966620.891546,askForTimeLimit,840.0,False,6,tikTok,
openedApp,Europe/Berlin,1751968662.379161,askForTimeLimit,540.0,False,6,tikTok,
openedApp,Europe/Berlin,1751970869.277276,askForTimeLimit,660.0,False,6,tikTok,
dismissedAppOpening,Europe/Berlin,1751972137.044523,askForTimeLimit,,False,6,tikTok,
openedApp,Europe/Berlin,1751972141.718713,askForTimeLimit,300.0,False,6,instagram,
openedApp,Europe/Berlin,1751972295.9061,askForTimeLimit,540.0,False,6,tikTok,
openedApp,Europe/Berlin,1751974145.5470948,askForTimeLimit,720.0,False,6,tikTok,
openedApp,Europe/Berlin,1751974579.976809,askForTimeLimit,180.0,False,6,tikTok,
openedApp,Europe/Berlin,1751974923.9487271,askForTimeLimit,780.0,False,6,tikTok,
openedApp,Europe/Berlin,1751975842.473033,askForTimeLimit,360.0,False,6,instagram,
openedApp,Europe/Berlin,1751976199.130395,askForTimeLimit,480.0,False,6,tikTok,
openedApp,Europe/Berlin,1751976883.200945,askForTimeLimit,900.0,False,6,instagram,
openedApp,Europe/Berlin,1751981889.644609,askForTimeLimit,300.0,False,6,instagram,
openedApp,Europe/Berlin,1751982130.6482248,askForTimeLimit,420.0,False,6,instagram,
openedApp,Europe/Berlin,1751982438.114917,askForTimeLimit,300.0,False,6,tikTok,
openedApp,Europe/Berlin,1751982589.5861568,askForTimeLimit,360.0,False,6,instagram,
openedApp,Europe/Berlin,1751988041.015226,askForTimeLimit,480.0,False,6,tikTok,
openedApp,Europe/Berlin,1751988427.4548101,askForTimeLimit,420.0,False,6,tikTok,
dismissedAppOpening,Europe/Berlin,1751989455.066246,askForTimeLimit,,False,6,tikTok,
openedApp,Europe/Berlin,1751990142.5800261,askForTimeLimit,540.0,False,6,instagram,
openedApp,Europe/Berlin,1751991415.453377,askForTimeLimit,540.0,False,6,tikTok,
openedApp,Europe/Berlin,1751993424.4394832,askForTimeLimit,960.0,False,6,tikTok,
openedApp,Europe/Berlin,1751994206.739347,askForTimeLimit,540.0,False,6,tikTok,
openedApp,Europe/Berlin,1751997168.191391,askForTimeLimit,1260.0,False,6,tikTok,
openedApp,Europe/Berlin,1751999064.284379,askForTimeLimit,300.0,False,6,instagram,
dismissedAppOpening,Europe/Berlin,1751999094.093571,askForTimeLimit,,False,6,tikTok,
dismissedAppOpening,Europe/Berlin,1751999353.669306,askForTimeLimit,,False,6,tikTok,
openedApp,Europe/Berlin,1751999358.446022,askForTimeLimit,420.0,False,6,instagram,
openedApp,Europe/Berlin,1752004323.647375,askForTimeLimit,300.0,False,6,tikTok,
openedApp,Europe/Berlin,1752014063.473954,askForTimeLimit,540.0,False,6,tikTok,
openedApp,Europe/Berlin,1752014334.817131,askForTimeLimit,180.0,False,6,tikTok,
openedApp,Europe/Berlin,1752014538.954071,breathingExercise,300.0,False,6,tikTok,:(
dismissedAppOpening,Europe/Berlin,1752050247.711494,askForTimeLimit,,False,6,tikTok,
openedApp,Europe/Berlin,1752051613.192717,askForTimeLimit,300.0,False,6,tikTok,
openedApp,Europe/Berlin,1752051805.054723,askForTimeLimit,360.0,False,6,tikTok,
openedApp,Europe/Berlin,1752053579.803539,askForTimeLimit,540.0,False,6,tikTok,
openedApp,Europe/Berlin,1752057946.81008,askForTimeLimit,420.0,False,6,tikTok,
openedApp,Europe/Berlin,1752059720.2620192,askForTimeLimit,300.0,False,6,tikTok,
openedApp,Europe/Berlin,1752060013.8620992,askForTimeLimit,360.0,False,6,tikTok,
openedApp,Europe/Berlin,1752060311.4373221,askForTimeLimit,540.0,False,6,tikTok,
openedApp,Europe/Berlin,1752060713.263812,askForTimeLimit,240.0,False,6,tikTok,
openedApp,Europe/Berlin,1752060973.605812,askForTimeLimit,300.0,False,6,tikTok,
openedApp,Europe/Berlin,1752061256.508624,askForTimeLimit,540.0,False,6,instagram,
dismissedAppOpening,Europe/Berlin,1752061685.716594,askForTimeLimit,,False,6,instagram,
openedApp,Europe/Berlin,1752062070.251072,askForTimeLimit,420.0,False,6,tikTok,
openedApp,Europe/Berlin,1752062944.987546,askForTimeLimit,540.0,False,6,instagram,
openedApp,Europe/Berlin,1752063264.1700969,askForTimeLimit,840.0,False,6,tikTok,
openedApp,Europe/Berlin,1752063651.180025,askForTimeLimit,600.0,False,6,tikTok,
openedApp,Europe/Berlin,1752063978.339038,askForTimeLimit,360.0,False,6,tikTok,
openedApp,Europe/Berlin,1752064380.50033,breathingExercise,1440.0,False,6,tikTok,brree
openedApp,Europe/Berlin,1752065779.48804,askForTimeLimit,240.0,False,6,instagram,
openedApp,Europe/Berlin,1752066596.2744498,askForTimeLimit,480.0,False,6,tikTok,
openedApp,Europe/Berlin,1752071031.48942,askForTimeLimit,300.0,False,6,tikTok,
dismissedAppOpening,Europe/Berlin,1752071427.5726619,askForTimeLimit,,False,6,tikTok,
openedApp,Europe/Berlin,1752073965.415798,askForTimeLimit,420.0,False,6,tikTok,
openedApp,Europe/Berlin,1752076447.499476,askForTimeLimit,360.0,False,6,instagram,
