isReIntervention,timestamp,interventionType,app,resolution,interventionDuration,timezone,purpose
False,1753241366.266406,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753241605.3282518,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753247140.1986818,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753247176.296524,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753247194.576307,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753247204.556364,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753247542.747648,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753247619.508862,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753247626.5926409,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753247647.951946,breathingExercise,facebook,openedApp,3,America/Los_Angeles,Stay In the Loop
False,1753248967.2979898,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753276040.5588489,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753276141.2280211,breathingExercise,facebook,openedApp,3,America/Los_Angeles,Post something
False,1753277407.067718,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753280224.0340009,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753280229.452767,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753280755.063968,breathingExercise,facebook,openedApp,3,America/Los_Angeles,Stay In the Loop
False,1753280940.3134809,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753280943.720185,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753281089.5933142,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753281102.4133801,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753281826.3887239,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753281913.166631,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753285285.911677,breathingExercise,facebook,openedApp,3,America/Los_Angeles,Stay In the Loop
False,1753285314.729142,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753285316.423626,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753285332.67655,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753292550.466131,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753292877.174669,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753292928.8302112,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753294124.3678188,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
