resolution,timezone,timestamp,interventionDuration,isReIntervention,interventionType,app
openedApp,Africa/Cairo,1750777708.6952271,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750778681.495504,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750780291.1089,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750780603.579823,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750783823.957895,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750784572.221582,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750784949.3189812,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750785494.572937,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750787016.497215,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750787028.771585,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750788146.969163,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750810035.866102,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750810415.066001,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750811075.501719,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750812890.673547,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750813244.364634,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750814379.1747952,3,False,breathingExercise,safari
dismissedAppOpening,Africa/Cairo,1750814662.216428,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750814673.946429,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750815523.235671,3,False,breathingExercise,safari
dismissedAppOpening,Africa/Cairo,1750817095.261135,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750829982.3030648,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750831558.8698921,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750832826.4440742,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750835836.113216,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750835861.335627,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750837026.2885408,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750838716.558398,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750838964.5245152,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750847098.153689,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750847307.8032331,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750849078.794591,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750849164.5486178,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750850335.301913,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750850604.349352,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750850996.109653,3,False,breathingExercise,whastapp
