interventionDuration,timestamp,timezone,app,resolution,isReIntervention,interventionType
3,1753429855.1274781,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753429857.909661,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753429868.714818,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753430960.2356071,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753436110.042983,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753436119.333406,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753444156.4697309,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753444252.591114,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753444421.521751,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753448545.6445022,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753449676.674745,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753449679.7802181,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753449681.632403,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753449684.535578,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753451655.988281,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753451664.5530949,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753452820.275744,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753453808.342092,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753455476.446169,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753455478.185009,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753455479.9848452,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753460070.006474,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753460072.8494282,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753460075.5299978,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753460078.065974,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753460080.325842,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753460082.6566548,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753460085.266127,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753460087.974329,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753460092.1083388,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753460094.40538,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753460096.588204,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
