timestamp,app,interventionType,resolution,isReIntervention,timezone,interventionDuration,timeIntervalUntilReIntervention,purpose
1752796723.255063,twitter,,closedApp,False,America/Montevideo,,,
1752796860.772725,twitter,,closedApp,False,America/Montevideo,,,
1752797045.953253,twitter,,closedApp,False,America/Montevideo,,,
1752797256.9267368,twitter,,closedApp,False,America/Montevideo,,,
1752797700.028205,twitter,,closedApp,False,America/Montevideo,,,
1752798381.344468,twitter,breathingExercise,openedApp,False,America/Montevideo,3.0,600.0,Escape / Avoid
1752798872.7806668,twitter,,closedApp,False,America/Montevideo,,,
1752799860.7437959,twitter,breathingExercise,openedApp,False,America/Montevideo,3.0,480.0,Escape / Avoid
1752799953.051272,twitter,,closedApp,False,America/Montevideo,,,
1752800190.071481,twitter,,closedApp,False,America/Montevideo,,,
1752800277.983422,twitter,,closedApp,False,America/Montevideo,,,
1752800378.5847812,twitter,,closedApp,False,America/Montevideo,,,
1752800451.9175959,twitter,,closedApp,False,America/Montevideo,,,
1752800461.0517058,twitter,breathingExercise,openedApp,True,America/Montevideo,3.0,480.0,Escape / Avoid
1752800516.08435,twitter,,closedApp,False,America/Montevideo,,,
1752800957.986011,twitter,breathingExercise,openedApp,False,America/Montevideo,3.0,600.0,Escape / Avoid
1752801022.46351,twitter,,closedApp,False,America/Montevideo,,,
1752801912.502944,twitter,breathingExercise,dismissedAppOpening,False,America/Montevideo,3.0,,
1752802013.898124,twitter,breathingExercise,openedApp,False,America/Montevideo,3.0,540.0,Escape / Avoid
1752802087.527314,tikTok,breathingExercise,openedApp,False,America/Montevideo,3.0,360.0,Escape / Avoid
1752802184.86374,tikTok,,closedApp,False,America/Montevideo,,,
1752802303.169073,tikTok,,closedApp,False,America/Montevideo,,,
1752802873.4841108,tikTok,,closedApp,False,America/Montevideo,,,
1752802064.35561,twitter,,closedApp,False,America/Montevideo,,,
1752802882.86186,tikTok,breathingExercise,openedApp,True,America/Montevideo,3.0,540.0,Escape / Avoid
1752803082.904726,tikTok,,closedApp,False,America/Montevideo,,,
1752803504.519926,tikTok,,closedApp,False,America/Montevideo,,,
1752804413.797946,tikTok,,closedApp,False,America/Montevideo,,,
1752804426.183979,tikTok,breathingExercise,openedApp,True,America/Montevideo,3.0,600.0,Escape / Avoid
1752804627.0107942,tikTok,,closedApp,False,America/Montevideo,,,
1752804820.9872642,tikTok,,closedApp,False,America/Montevideo,,,
1752804856.234727,tikTok,,closedApp,False,America/Montevideo,,,
1752805336.543398,tikTok,,closedApp,False,America/Montevideo,,,
1752805400.7044802,tikTok,,closedApp,False,America/Montevideo,,,
1752805433.039864,tikTok,,closedApp,False,America/Montevideo,,,
1752805523.9481049,tikTok,,closedApp,False,America/Montevideo,,,
1752806024.385203,tikTok,,closedApp,False,America/Montevideo,,,
1752806035.117989,tikTok,breathingExercise,openedApp,False,America/Montevideo,3.0,540.0,Stay In the Loop
1752806047.483639,twitter,breathingExercise,openedApp,False,America/Montevideo,3.0,600.0,Stay In the Loop
1752806215.402917,twitter,,closedApp,False,America/Montevideo,,,
1752851673.069071,twitter,breathingExercise,openedApp,False,America/Montevideo,3.0,600.0,Stay In the Loop
1752852279.04008,twitter,,closedApp,False,America/Montevideo,,,
1752852292.32497,twitter,breathingExercise,openedApp,True,America/Montevideo,3.0,360.0,Escape / Avoid
1752852673.1175199,twitter,,closedApp,False,America/Montevideo,,,
1752852821.066205,twitter,breathingExercise,dismissedAppOpening,False,America/Montevideo,3.0,,
1752852969.063603,twitter,breathingExercise,dismissedAppOpening,False,America/Montevideo,3.0,,
1752853099.313535,twitter,breathingExercise,dismissedAppOpening,False,America/Montevideo,3.0,,
1752854401.8376799,instagram,breathingExercise,openedApp,False,America/Montevideo,3.0,480.0,Stay In the Loop
1752854507.596523,instagram,,closedApp,False,America/Montevideo,,,
1752854753.294176,instagram,breathingExercise,dismissedAppOpening,False,America/Montevideo,3.0,,
1752854882.126326,instagram,breathingExercise,openedApp,False,America/Montevideo,3.0,240.0,Stay In the Loop
1752855582.534383,tikTok,breathingExercise,openedApp,False,America/Montevideo,3.0,480.0,Stay In the Loop
1752854922.310772,instagram,,closedApp,False,America/Montevideo,,,
1752855035.527616,instagram,,closedApp,False,America/Montevideo,,,
1752855628.3646421,tikTok,,closedApp,False,America/Montevideo,,,
1752856100.771093,tikTok,,closedApp,False,America/Montevideo,,,
1752856222.874937,tikTok,,closedApp,False,America/Montevideo,,,
1752856255.6044059,tikTok,breathingExercise,openedApp,True,America/Montevideo,3.0,780.0,Stay In the Loop
1752857013.230768,tikTok,,closedApp,False,America/Montevideo,,,
1752857124.513208,tikTok,,closedApp,False,America/Montevideo,,,
1752857323.385264,tikTok,,closedApp,False,America/Montevideo,,,
1752857869.103045,tikTok,breathingExercise,dismissedAppOpening,False,America/Montevideo,3.0,,
1752857917.5390658,tikTok,breathingExercise,openedApp,False,America/Montevideo,3.0,600.0,Stay In the Loop
1752858158.957341,tikTok,,closedApp,False,America/Montevideo,,,
1752858507.314539,tikTok,,closedApp,False,America/Montevideo,,,
1752858730.196347,tikTok,,closedApp,False,America/Montevideo,,,
1752859701.59312,tikTok,breathingExercise,openedApp,False,America/Montevideo,3.0,600.0,Stay In the Loop
1752859796.171894,tikTok,,closedApp,False,America/Montevideo,,,
1752860215.940268,tikTok,breathingExercise,openedApp,False,America/Montevideo,3.0,480.0,Stay In the Loop
1752860338.7310119,tikTok,,closedApp,False,America/Montevideo,,,
1752860397.907505,tikTok,,closedApp,False,America/Montevideo,,,
1752860560.6671538,tikTok,,closedApp,False,America/Montevideo,,,
1752860611.2127209,tikTok,,closedApp,False,America/Montevideo,,,
1752860653.0426478,tikTok,,closedApp,False,America/Montevideo,,,
