participant_id,condition,phase,study_week,attempted,dismissed,executed,delay_type,delay_secs
C38C7441-848E-4DCD-AFE8-0603508E293A,ABC,phase2,1,175,58,117,A,3
C38D8DFB-3236-4A53-811D-5DDA7DFF1540,CCC,phase2,1,222,107,115,C,10
C38D8DFB-3236-4A53-811D-5DDA7DFF1540,CCC,phase2,2,62,29,33,C,10
C3963D98-4CE1-4E08-BE0F-54717E29A195,ACC,phase2,1,49,3,46,A,3
C3963D98-4CE1-4E08-BE0F-54717E29A195,ACC,phase2,2,51,5,46,A,3
C3963D98-4CE1-4E08-BE0F-54717E29A195,ACC,phase2,3,31,7,24,C,10
C39D9EFD-1232-4C66-8AF4-B053856C0390,BCC,phase1,1,54,30,24,B,6
C450EBBB-B1C2-4143-BB4B-4272D58C80F0,BCC,phase2,1,158,55,103,B,6
C450EBBB-B1C2-4143-BB4B-4272D58C80F0,BCC,phase2,2,172,34,138,B,6
C450EBBB-B1C2-4143-BB4B-4272D58C80F0,BCC,phase2,3,96,38,58,C,10
C450EBBB-B1C2-4143-BB4B-4272D58C80F0,BCC,phase2,4,151,40,111,C,10
C450EBBB-B1C2-4143-BB4B-4272D58C80F0,BCC,phase2,5,205,62,143,C,10
C4837D82-A391-4A01-B4FB-2617F1844302,ACC,phase1,1,502,140,362,A,3
C4837D82-A391-4A01-B4FB-2617F1844302,ACC,phase1,2,333,48,285,A,3
C4837D82-A391-4A01-B4FB-2617F1844302,ACC,phase1,3,185,22,163,C,10
C4837D82-A391-4A01-B4FB-2617F1844302,ACC,phase1,4,214,15,199,C,10
C4837D82-A391-4A01-B4FB-2617F1844302,ACC,phase1,5,154,9,145,C,10
C4837D82-A391-4A01-B4FB-2617F1844302,ACC,phase1,6,192,11,181,C,10
C48D1290-9BED-42E0-8A0B-8AD4CEBA3AF1,BCC,phase2,1,40,2,38,B,6
C48D1290-9BED-42E0-8A0B-8AD4CEBA3AF1,BCC,phase2,2,12,0,12,B,6
C4B19AFD-F1C5-4F3B-B8CA-F953B1CAD421,CCC,phase2,1,4,3,1,C,10
C4DF5C42-916F-433D-9F57-B495C33E35D0,BCC,phase1,1,103,33,70,B,6
C4E4D326-B75A-4B41-837D-66BB7B4E593A,CCC,phase1,1,175,69,106,C,10
C4E4D326-B75A-4B41-837D-66BB7B4E593A,CCC,phase1,2,215,46,169,C,10
C4E4D326-B75A-4B41-837D-66BB7B4E593A,CCC,phase1,3,244,63,181,C,10
C4E4D326-B75A-4B41-837D-66BB7B4E593A,CCC,phase1,4,398,98,300,C,10
C4E4D326-B75A-4B41-837D-66BB7B4E593A,CCC,phase1,5,280,55,225,C,10
C4E4D326-B75A-4B41-837D-66BB7B4E593A,CCC,phase1,6,152,32,120,C,10
C4EA95FA-44F1-4D00-8381-8CD4891D8FBF,CCC,phase2,1,150,54,96,C,10
C4EA95FA-44F1-4D00-8381-8CD4891D8FBF,CCC,phase2,2,47,18,29,C,10
C4EA95FA-44F1-4D00-8381-8CD4891D8FBF,CCC,phase2,3,17,14,3,C,10
C4EA95FA-44F1-4D00-8381-8CD4891D8FBF,CCC,phase2,4,13,11,2,C,10
C4EA95FA-44F1-4D00-8381-8CD4891D8FBF,CCC,phase2,5,10,10,0,C,10
C506A169-A8DF-4BA6-A912-B90452017C47,ABC,phase1,1,206,95,111,A,3
C506A169-A8DF-4BA6-A912-B90452017C47,ABC,phase1,2,130,22,108,A,3
C506A169-A8DF-4BA6-A912-B90452017C47,ABC,phase1,3,84,17,67,B,6
C506A169-A8DF-4BA6-A912-B90452017C47,ABC,phase1,4,71,13,58,B,6
C506A169-A8DF-4BA6-A912-B90452017C47,ABC,phase1,5,64,13,51,C,10
C506A169-A8DF-4BA6-A912-B90452017C47,ABC,phase1,6,66,14,52,C,10
C50B0B30-0C3B-466D-8996-46B03A5A53AA,ABC,phase2,1,166,11,155,A,3
C50B0B30-0C3B-466D-8996-46B03A5A53AA,ABC,phase2,2,136,7,129,A,3
C50B0B30-0C3B-466D-8996-46B03A5A53AA,ABC,phase2,3,132,14,118,B,6
C50B0B30-0C3B-466D-8996-46B03A5A53AA,ABC,phase2,4,145,27,118,B,6
C50B0B30-0C3B-466D-8996-46B03A5A53AA,ABC,phase2,5,187,51,136,C,10
C50B0B30-0C3B-466D-8996-46B03A5A53AA,ABC,phase2,6,70,19,51,C,10
C555E3D2-EBD6-4DD3-A4B1-B51CA760A4E5,CCC,phase1,1,1,0,1,C,10
C57637C0-B7BB-4BEE-ADDB-E225D77A78B0,BCC,phase1,1,51,21,30,B,6
C57637C0-B7BB-4BEE-ADDB-E225D77A78B0,BCC,phase1,2,5,1,4,B,6
C57637C0-B7BB-4BEE-ADDB-E225D77A78B0,BCC,phase1,3,5,2,3,C,10
C57EEEF1-5408-46D8-957C-A338A7087AB3,BCC,phase2,1,1,1,0,B,6
C5BB1806-19B5-4DA4-B48B-87E71CB7F967,ACC,phase1,1,25,13,12,A,3
C5BB1806-19B5-4DA4-B48B-87E71CB7F967,ACC,phase1,2,16,4,12,A,3
C5BB1806-19B5-4DA4-B48B-87E71CB7F967,ACC,phase1,3,19,3,16,C,10
C5BB1806-19B5-4DA4-B48B-87E71CB7F967,ACC,phase1,4,6,2,4,C,10
C5BB1806-19B5-4DA4-B48B-87E71CB7F967,ACC,phase1,5,6,0,6,C,10
C5BB1806-19B5-4DA4-B48B-87E71CB7F967,ACC,phase1,6,11,0,11,C,10
C5E94948-FBD0-4A62-BB0C-E1F7985DB5C3,ABC,phase2,1,341,45,296,A,3
C5E94948-FBD0-4A62-BB0C-E1F7985DB5C3,ABC,phase2,2,344,32,312,A,3
C5E94948-FBD0-4A62-BB0C-E1F7985DB5C3,ABC,phase2,3,298,46,252,B,6
C5E94948-FBD0-4A62-BB0C-E1F7985DB5C3,ABC,phase2,4,331,47,284,B,6
C5E94948-FBD0-4A62-BB0C-E1F7985DB5C3,ABC,phase2,5,350,52,298,C,10
C5E94948-FBD0-4A62-BB0C-E1F7985DB5C3,ABC,phase2,6,281,42,239,C,10
C5F4F4CE-C3EC-4A90-9EBA-0FCA30795D32,ABC,phase2,1,422,128,294,A,3
C5F4F4CE-C3EC-4A90-9EBA-0FCA30795D32,ABC,phase2,2,424,65,359,A,3
C5F4F4CE-C3EC-4A90-9EBA-0FCA30795D32,ABC,phase2,3,598,141,457,B,6
C5F4F4CE-C3EC-4A90-9EBA-0FCA30795D32,ABC,phase2,4,771,169,602,B,6
C5F4F4CE-C3EC-4A90-9EBA-0FCA30795D32,ABC,phase2,5,668,231,437,C,10
C5F4F4CE-C3EC-4A90-9EBA-0FCA30795D32,ABC,phase2,6,508,137,371,C,10
C623FF95-2EF2-49B2-8735-5848D5429EFA,ACC,phase2,1,1,1,0,A,3
C639DA9C-B622-46BB-BE9F-71E43350CAB4,ACC,phase1,1,87,32,55,A,3
C639DA9C-B622-46BB-BE9F-71E43350CAB4,ACC,phase1,2,88,10,78,A,3
C639DA9C-B622-46BB-BE9F-71E43350CAB4,ACC,phase1,3,66,19,47,C,10
C639DA9C-B622-46BB-BE9F-71E43350CAB4,ACC,phase1,4,64,10,54,C,10
C639DA9C-B622-46BB-BE9F-71E43350CAB4,ACC,phase1,5,74,11,63,C,10
C639DA9C-B622-46BB-BE9F-71E43350CAB4,ACC,phase1,6,76,11,65,C,10
C690EC30-52D4-4E37-B3A0-376D43EC5730,ACC,phase1,1,196,88,108,A,3
C690EC30-52D4-4E37-B3A0-376D43EC5730,ACC,phase1,2,104,50,54,A,3
C690EC30-52D4-4E37-B3A0-376D43EC5730,ACC,phase1,3,42,22,20,C,10
C690EC30-52D4-4E37-B3A0-376D43EC5730,ACC,phase1,4,99,34,65,C,10
C690EC30-52D4-4E37-B3A0-376D43EC5730,ACC,phase1,5,57,23,34,C,10
C690EC30-52D4-4E37-B3A0-376D43EC5730,ACC,phase1,6,102,38,64,C,10
C6AFB539-028E-49D5-9F95-B87C328163C6,BCC,phase1,1,88,19,69,B,6
C6AFB539-028E-49D5-9F95-B87C328163C6,BCC,phase1,2,83,14,69,B,6
C6AFB539-028E-49D5-9F95-B87C328163C6,BCC,phase1,3,64,17,47,C,10
C6AFB539-028E-49D5-9F95-B87C328163C6,BCC,phase1,4,56,12,44,C,10
C6AFB539-028E-49D5-9F95-B87C328163C6,BCC,phase1,5,80,25,55,C,10
C6AFB539-028E-49D5-9F95-B87C328163C6,BCC,phase1,6,73,19,54,C,10
C6EAC7F1-E655-4BAA-A5AC-365CA3710CF8,ABC,phase1,1,132,13,119,A,3
C6EAC7F1-E655-4BAA-A5AC-365CA3710CF8,ABC,phase1,2,118,10,108,A,3
C6EAC7F1-E655-4BAA-A5AC-365CA3710CF8,ABC,phase1,3,67,10,57,B,6
C6EAC7F1-E655-4BAA-A5AC-365CA3710CF8,ABC,phase1,4,46,3,43,B,6
C6EAC7F1-E655-4BAA-A5AC-365CA3710CF8,ABC,phase1,5,75,8,67,C,10
C6EAC7F1-E655-4BAA-A5AC-365CA3710CF8,ABC,phase1,6,85,7,78,C,10
C75B02FC-FF77-4D62-B9B9-84D0A5BD13CB,ACC,phase1,1,103,24,79,A,3
C7728E85-0872-4D6C-9D43-277F0DF28527,BCC,phase2,1,121,64,57,B,6
C7728E85-0872-4D6C-9D43-277F0DF28527,BCC,phase2,2,103,49,54,B,6
C7728E85-0872-4D6C-9D43-277F0DF28527,BCC,phase2,3,27,19,8,C,10
C7728E85-0872-4D6C-9D43-277F0DF28527,BCC,phase2,4,5,2,3,C,10
C7728E85-0872-4D6C-9D43-277F0DF28527,BCC,phase2,5,260,93,167,C,10
C7728E85-0872-4D6C-9D43-277F0DF28527,BCC,phase2,6,259,54,205,C,10
C7CC54A7-A420-478F-8127-F3474935C979,BCC,phase1,1,29,5,24,B,6
C7CC54A7-A420-478F-8127-F3474935C979,BCC,phase1,2,18,2,16,B,6
C7CC54A7-A420-478F-8127-F3474935C979,BCC,phase1,3,24,5,19,C,10
C7CC54A7-A420-478F-8127-F3474935C979,BCC,phase1,4,4,0,4,C,10
C7D6B2AB-309F-420E-8094-E6EB54C0E4CC,ABC,phase1,1,135,43,92,A,3
C7D6B2AB-309F-420E-8094-E6EB54C0E4CC,ABC,phase1,2,38,12,26,A,3
C7DA69EA-1F1F-428A-9AE5-4BB959704E04,ABC,phase2,1,81,40,41,A,3
