isReIntervention,interventionDuration,app,interventionType,timezone,purpose,resolution,timestamp
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753701871.190423
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753703345.733807
False,1.5,brave,breathingExercise,Europe/London,Message,openedApp,1753703375.418435
False,1.5,brave,breathingExercise,Europe/London,,dismissedAppOpening,1753703584.310812
False,1.5,brave,breathingExercise,Europe/London,Message,openedApp,1753703590.4409409
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753703737.2691689
False,1.5,snapchat,breathingExercise,Europe/London,,dismissedAppOpening,1753703881.9424891
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753704186.873949
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753704826.311336
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753705605.6537108
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753706310.95744
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753706679.659441
False,1.5,telegram,breathingExercise,Europe/London,Stay In the Loop,openedApp,1753708521.1793408
False,1.5,snapchat,breathingExercise,Europe/London,Stay In the Loop,openedApp,1753709432.278644
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753716288.990417
False,1.5,brave,breathingExercise,Europe/London,Message,openedApp,1753716337.551162
False,1.5,snapchat,breathingExercise,Europe/London,Escape / Avoid,openedApp,1753717312.445078
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753717431.044639
False,1.5,brave,breathingExercise,Europe/London,Escape / Avoid,openedApp,1753717504.46541
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753717680.617817
False,1.5,snapchat,breathingExercise,Europe/London,Message,openedApp,1753718542.334906
False,1.5,snapchat,breathingExercise,Europe/London,Message,openedApp,1753718928.491889
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753723861.750856
False,1.5,brave,breathingExercise,Europe/London,,dismissedAppOpening,1753733078.403428
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753733100.562444
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753736788.540279
False,1.5,snapchat,breathingExercise,Europe/London,Message,openedApp,1753736936.316294
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753737022.984599
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753737049.741108
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753737110.339775
False,1.5,telegram,breathingExercise,Europe/London,Stay In the Loop,openedApp,1753737573.62163
False,1.5,snapchat,breathingExercise,Europe/London,Message,openedApp,1753737746.566472
False,1.5,brave,breathingExercise,Europe/London,Message,openedApp,1753737819.537492
False,1.5,snapchat,breathingExercise,Europe/London,Message,openedApp,1753738332.907165
False,1.5,snapchat,breathingExercise,Europe/London,Message,openedApp,1753739380.4602609
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753746337.3624768
False,1.5,snapchat,breathingExercise,Europe/London,Escape / Avoid,openedApp,1753746356.6606898
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753748027.3452601
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753776514.376491
False,1.5,snapchat,breathingExercise,Europe/London,Message,openedApp,1753776551.047055
False,1.5,brave,breathingExercise,Europe/London,Escape / Avoid,openedApp,1753776681.59832
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753776942.08996
False,1.5,brave,breathingExercise,Europe/London,Escape / Avoid,openedApp,1753776964.895854
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753777284.538223
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753777735.2072248
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753777742.480962
False,1.5,snapchat,breathingExercise,Europe/London,Message,openedApp,1753777797.727069
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753778120.377363
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753778340.105602
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753778443.70289
False,1.5,brave,breathingExercise,Europe/London,,dismissedAppOpening,1753778474.8156462
False,1.5,brave,breathingExercise,Europe/London,Message,openedApp,1753778482.4912891
False,1.5,snapchat,breathingExercise,Europe/London,Message,openedApp,1753778918.342946
False,1.5,snapchat,breathingExercise,Europe/London,Message,openedApp,1753779807.695198
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753780967.528538
False,1.5,snapchat,breathingExercise,Europe/London,Bored,openedApp,1753781461.310779
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753782586.412057
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753782805.65195
False,1.5,snapchat,breathingExercise,Europe/London,,dismissedAppOpening,1753782974.296998
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753783064.5583858
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753783368.714931
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753784821.123342
False,1.5,snapchat,breathingExercise,Europe/London,Message,openedApp,1753784836.4884238
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753785376.286242
