timezone,timestamp,interventionType,isReIntervention,interventionDuration,resolution,app,purpose
Europe/Bucharest,1749987862.11621,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749988220.667589,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749988561.5949678,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749988944.628052,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749989406.4242868,breathingExercise,False,1.5,dismissedAppOpening,instagram,
Europe/Bucharest,1749989680.938363,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749990007.326582,breathingExercise,False,1.5,dismissedAppOpening,instagram,
Europe/Bucharest,1749990030.885282,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749990571.667985,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749991201.5714579,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749991562.1987529,breathingExercise,False,1.5,openedApp,tikTok,Stay In the Loop
Europe/Bucharest,1749991599.023335,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749991956.6418672,breathingExercise,False,1.5,openedApp,tikTok,Stay In the Loop
Europe/Bucharest,1749991964.097828,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749992395.290636,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749992707.191659,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749993475.634789,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749993819.830843,breathingExercise,False,1.5,dismissedAppOpening,instagram,
Europe/Bucharest,1749993828.174289,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749994407.825808,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749994757.7395759,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749995151.946707,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749995505.0697598,breathingExercise,False,1.5,dismissedAppOpening,instagram,
Europe/Bucharest,1749995814.413752,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749996235.475607,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749996472.2383661,breathingExercise,False,1.5,openedApp,tikTok,Stay In the Loop
Europe/Bucharest,1749996585.096461,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749996795.492564,breathingExercise,False,1.5,openedApp,tikTok,Stay In the Loop
Europe/Bucharest,1749996930.987951,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749997134.021298,breathingExercise,False,1.5,openedApp,tikTok,Stay In the Loop
Europe/Bucharest,1749997262.469058,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749997449.913826,breathingExercise,False,1.5,openedApp,tikTok,Stay In the Loop
Europe/Bucharest,1749997919.7565188,breathingExercise,False,1.5,openedApp,instagram,Message
Europe/Bucharest,1749998931.842768,breathingExercise,False,1.5,dismissedAppOpening,instagram,
Europe/Bucharest,1750000454.303833,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1750000711.571681,breathingExercise,False,1.5,dismissedAppOpening,tikTok,
Europe/Bucharest,1750000720.237237,breathingExercise,False,1.5,openedApp,tikTok,Stay In the Loop
Europe/Bucharest,1750000876.165639,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1750001295.515812,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1750001686.000516,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1750001996.557749,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1750002333.682086,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1750002646.57846,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1750003128.508686,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1750003471.849664,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1750003879.2461162,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1750004218.135473,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1750004570.504208,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1750004757.625753,breathingExercise,False,1.5,openedApp,tikTok,Stay In the Loop
Europe/Bucharest,1750004923.5457559,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1750005072.694851,breathingExercise,False,1.5,openedApp,tikTok,Stay In the Loop
Europe/Bucharest,1750005272.280932,breathingExercise,False,1.5,dismissedAppOpening,instagram,
Europe/Bucharest,1750005286.205822,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1750005664.4065108,breathingExercise,False,1.5,dismissedAppOpening,instagram,
Europe/Bucharest,1750005741.286532,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1750006381.387282,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1750006735.912053,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1750007162.242491,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1750007478.411294,breathingExercise,False,1.5,dismissedAppOpening,instagram,
Europe/Bucharest,1750007488.97748,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1750008005.1023269,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
