timezone,isReIntervention,purpose,app,interventionType,interventionDuration,timestamp,resolution
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1752814896.0733109,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1752821412.451058,openedApp
Asia/Kolkata,False,,whastapp,,,1752842011.956678,openedApp
Asia/Kolkata,False,,whastapp,,,1752842911.956678,closedApp
Asia/Kolkata,False,,whastapp,,,1752842911.956678,dismissedAppOpening
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1752842933.633559,openedApp
Asia/Kolkata,False,Message,youtube,breathingExercise,6.0,1752845195.803451,openedApp
Asia/Kolkata,False,,whastapp,,,1752846790.9390712,openedApp
Asia/Kolkata,False,,whastapp,,,1752847690.9390712,closedApp
Asia/Kolkata,False,,whastapp,,,1752847690.9390712,dismissedAppOpening
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1752847710.287434,openedApp
Asia/Kolkata,False,Message,youtube,breathingExercise,6.0,1752850264.868805,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1752884748.083507,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1752885624.884726,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1752888335.843453,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1752890163.430505,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1752927037.853341,openedApp
Asia/Kolkata,False,,whastapp,,,1752928238.655071,openedApp
Asia/Kolkata,False,,whastapp,,,1752929138.655071,closedApp
Asia/Kolkata,False,,whastapp,,,1752929138.655071,dismissedAppOpening
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1752929366.4101748,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1752944158.725912,openedApp
Asia/Kolkata,False,,youtube,,,1752977791.35096,openedApp
Asia/Kolkata,False,,youtube,,,1752978391.350961,closedApp
Asia/Kolkata,False,,youtube,,,1752978391.350961,dismissedAppOpening
Asia/Kolkata,False,,youtube,,,1752977813.945075,openedApp
Asia/Kolkata,False,,youtube,,,1752978413.945076,closedApp
Asia/Kolkata,False,,youtube,,,1752978413.945076,dismissedAppOpening
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1753011750.05774,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1753024756.583874,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1753071986.731998,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1753081934.636915,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1753089575.549537,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1753090820.572254,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1753091138.828121,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1753091173.775032,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1753092710.8063169,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1753092816.037472,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1753105401.460576,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1753111360.830692,openedApp
Asia/Kolkata,False,,twitter,breathingExercise,6.0,1753179282.964329,dismissedAppOpening
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1753186657.46439,openedApp
Asia/Kolkata,False,,whastapp,,,1753202395.004015,openedApp
