timestamp,app,interventionType,resolution,timezone,isReIntervention,interventionDuration,purpose
1751312563.069999,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751343697.2502189,instagram,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751343751.540345,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Entertainment
1751344282.548545,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751345807.3793921,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751347802.481425,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751348847.929312,tikTok,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751350578.558271,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751350704.1609921,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751363275.558758,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751363555.935437,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Entertainment
1751363640.871512,instagram,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751365534.4163651,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751365612.362059,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751370863.4339151,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751373431.764532,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751373599.6859422,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751374093.395015,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751378221.750272,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Entertainment
1751380341.583736,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751380401.8769011,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751385656.0713649,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751390177.3238568,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751390741.4068131,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751391822.187423,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751392358.282855,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751392412.5385308,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751393380.015656,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751393439.299938,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751399734.452752,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751400368.092737,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751401026.033299,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751401075.438575,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751401148.242105,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751401158.180231,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751401168.832684,instagram,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751401172.7278662,instagram,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751401174.716477,instagram,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751401193.028341,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751401221.776273,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751401254.815891,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751401300.879426,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751403247.217215,instagram,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751403593.11792,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751403675.058848,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751403808.004143,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751403906.8902411,facebook,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751404648.72758,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751405746.083498,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751406217.4452372,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751408328.21413,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751408386.9744701,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751408453.263155,tikTok,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751433952.9210792,facebook,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751437605.7400799,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751437723.8914452,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751437961.5053859,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751445940.894827,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751446478.586571,instagram,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751446489.604949,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751446964.5962238,tikTok,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
