interventionDuration,interventionType,isReIntervention,resolution,timestamp,app,timezone,timeIntervalUntilReIntervention
1.5,breathingExercise,False,openedApp,1750182758.808078,instagram,Europe/Lisbon,120.0
,,False,closedApp,1750182794.787879,instagram,Europe/Lisbon,
1.5,breathingExercise,False,dismissedAppOpening,1750191173.21282,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1750191187.461803,instagram,Europe/Lisbon,120.0
,,False,closedApp,1750191212.744529,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1750191927.388408,instagram,Europe/Lisbon,120.0
,,False,closedApp,1750191961.5443258,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1750193912.261485,instagram,Europe/Lisbon,300.0
,,False,closedApp,1750194054.035357,instagram,Europe/Lisbon,
,,False,closedApp,1750194184.245037,instagram,Europe/Lisbon,
,,False,closedApp,1750195827.490924,instagram,Europe/Lisbon,
,,False,closedApp,1750195962.541604,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1750196672.8249311,instagram,Europe/Lisbon,60.0
,,False,closedApp,1750196722.69809,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1750197479.648097,instagram,Europe/Lisbon,180.0
,,False,closedApp,1750197517.02106,instagram,Europe/Lisbon,
,,False,closedApp,1750197554.916933,instagram,Europe/Lisbon,
,,False,closedApp,1750197581.595913,instagram,Europe/Lisbon,
1.5,breathingExercise,False,dismissedAppOpening,1750224209.499995,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1750224363.6405969,instagram,Europe/Lisbon,300.0
,,False,closedApp,1750224476.505797,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1750224967.092361,instagram,Europe/Lisbon,180.0
,,False,closedApp,1750225156.480023,instagram,Europe/Lisbon,
1.5,breathingExercise,False,dismissedAppOpening,1750231960.162243,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1750232198.828888,instagram,Europe/Lisbon,120.0
,,False,closedApp,1750232238.62647,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1750233351.389728,instagram,Europe/Lisbon,120.0
,,False,closedApp,1750233453.080337,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1750236077.9651299,instagram,Europe/Lisbon,120.0
,,False,closedApp,1750236101.304865,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1750237468.061322,instagram,Europe/Lisbon,180.0
,,False,closedApp,1750237525.776326,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1750244768.381242,instagram,Europe/Lisbon,180.0
,,False,closedApp,1750244795.551909,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1750256776.769064,instagram,Europe/Lisbon,180.0
,,False,closedApp,1750257036.7986999,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1750261429.375154,instagram,Europe/Lisbon,180.0
,,False,closedApp,1750261510.206266,instagram,Europe/Lisbon,
1.5,breathingExercise,False,dismissedAppOpening,1750261528.121542,instagram,Europe/Lisbon,
1.5,breathingExercise,False,dismissedAppOpening,1750262708.258031,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1750263299.840465,instagram,Europe/Lisbon,180.0
1.5,breathingExercise,False,dismissedAppOpening,1750264120.2441158,instagram,Europe/Lisbon,
,,False,closedApp,1750263487.981732,instagram,Europe/Lisbon,
