timestamp,app,timezone,isReIntervention,resolution,interventionType,interventionDuration,purpose,timeIntervalUntilReIntervention
1749521528.075836,instagram,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,300.0
1749522175.513877,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749522183.4692569,instagram,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Stay In the Loop,300.0
1749522375.690918,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749522383.6182451,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,300.0
1749522435.385198,tikTok,America/Los_Angeles,False,closedApp,,,,
1749522795.702032,tikTok,America/Los_Angeles,False,closedApp,,,,
1749527842.907785,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749527845.414192,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749529782.524561,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749530144.2609649,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,900.0
1749531063.513742,tikTok,America/Los_Angeles,False,closedApp,,,,
1749566636.158558,instagram,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,480.0
1749566815.111631,tikTok,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749567271.569086,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749567280.793272,tikTok,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749569399.389748,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,900.0
1749570304.05497,tikTok,America/Los_Angeles,False,closedApp,,,,
1749575069.695957,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749579390.715506,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,900.0
1749580295.530957,tikTok,America/Los_Angeles,False,closedApp,,,,
1749580304.191968,tikTok,America/Los_Angeles,True,openedApp,breathingExercise,1.5,Bored,900.0
1749581210.6752229,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749581205.311115,tikTok,America/Los_Angeles,False,closedApp,,,,
1749583954.928309,instagram,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,900.0
1749584371.910376,instagram,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Stay In the Loop,540.0
1749586351.951546,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Toilet,360.0
1749586717.5332189,tikTok,America/Los_Angeles,False,closedApp,,,,
1749586776.448666,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Toilet,900.0
1749587681.628551,tikTok,America/Los_Angeles,False,closedApp,,,,
1749589981.941002,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,900.0
1749590894.194737,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749590887.939003,tikTok,America/Los_Angeles,False,closedApp,,,,
1749591196.875618,tikTok,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749592971.554322,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,900.0
1749592989.907233,tikTok,America/Los_Angeles,False,closedApp,,,,
1749593113.063487,tikTok,America/Los_Angeles,False,closedApp,,,,
1749593367.824213,tikTok,America/Los_Angeles,False,closedApp,,,,
1749596743.066299,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,900.0
1749597068.0286012,tikTok,America/Los_Angeles,False,closedApp,,,,
1749597516.139859,tikTok,America/Los_Angeles,False,closedApp,,,,
1749597709.140835,tikTok,America/Los_Angeles,False,closedApp,,,,
1749598873.3558779,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,900.0
1749598911.498073,tikTok,America/Los_Angeles,False,closedApp,,,,
1749598934.139369,tikTok,America/Los_Angeles,False,closedApp,,,,
1749599249.7858539,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,900.0
