interventionType,timestamp,resolution,interventionDuration,isReIntervention,timezone,app,purpose
breathingExercise,1752766488.359785,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752766644.977345,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752767257.938634,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752767936.65078,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752768121.2705169,dismissedAppOpening,1.5,False,Asia/Tehran,instagram,
breathingExercise,1752768242.0892391,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752768491.020257,dismissedAppOpening,1.5,False,Asia/Tehran,twitter,
breathingExercise,1752769023.508953,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752769241.377307,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752769707.4681659,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752771225.437479,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752771699.170594,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752771787.821944,dismissedAppOpening,1.5,False,Asia/Tehran,instagram,
breathingExercise,1752771800.272305,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752771893.065218,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752771946.076744,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752772187.661067,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752772222.969901,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752772345.024826,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752772717.3541222,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752772940.054222,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752773043.99598,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752773082.765225,dismissedAppOpening,1.5,False,Asia/Tehran,instagram,
breathingExercise,1752773088.292367,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752774333.247532,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752776984.190843,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752777319.49915,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752777627.04235,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752777695.683906,dismissedAppOpening,1.5,False,Asia/Tehran,instagram,
breathingExercise,1752778196.4463758,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752778636.00463,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752778714.1432629,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752780731.540153,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752780852.528472,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
