resolution,isReIntervention,timeIntervalUntilReIntervention,timezone,purpose,timestamp,app,interventionDuration,interventionType
openedApp,False,,Europe/Madrid,Entertainment,1753254214.649993,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Stay In the Loop,1753254703.329834,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Bored,1753255116.622011,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753255491.761033,tikTok,6.0,breathingExercise
dismissedAppOpening,False,,Europe/Madrid,,1753256093.46586,tikTok,6.0,breathingExercise
dismissedAppOpening,False,,Europe/Madrid,,1753256118.631428,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Stay In the Loop,1753256712.221389,instagram,6.0,breathingExercise
dismissedAppOpening,False,,Europe/Madrid,,1753257183.847046,instagram,6.0,breathingExercise
dismissedAppOpening,False,,Europe/Madrid,,1753257666.339879,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753259256.078623,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Check likes,1753261525.635494,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753262655.468123,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753263165.221416,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Check likes,1753263264.447573,instagram,6.0,breathingExercise
dismissedAppOpening,False,,Europe/Madrid,,1753263420.067153,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Stay In the Loop,1753270372.246948,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Stay In the Loop,1753273130.182253,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753275684.604659,instagram,6.0,breathingExercise
dismissedAppOpening,False,,Europe/Madrid,,1753277064.621166,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753278194.717849,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753279078.85284,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753280199.940197,instagram,6.0,breathingExercise
dismissedAppOpening,False,,Europe/Madrid,,1753280698.324172,instagram,6.0,breathingExercise
dismissedAppOpening,False,,Europe/Madrid,,1753280702.761354,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Stay In the Loop,1753286425.244255,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Stay In the Loop,1753292677.7176208,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Stay In the Loop,1753293246.752006,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Bored,1753294561.69129,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Stay In the Loop,1753295862.7612429,instagram,6.0,breathingExercise
