app,timeIntervalUntilReIntervention,interventionDuration,timezone,timestamp,isReIntervention,resolution,interventionType,purpose,terminationReason
linkedin,,,Europe/Warsaw,1749736258.438694,0.0,closedApp,,,
instagram,60.0,1.5,Europe/Warsaw,1749740413.238717,0.0,openedApp,askForTimeLimit,,
linkedin,,1.5,Europe/Warsaw,1749804102.807344,0.0,openedApp,breathingExercise,Stay In the Loop,
linkedin,,,Europe/Warsaw,1749804107.5011039,0.0,closedApp,,,
linkedin,,,Europe/Warsaw,1749804110.2781448,0.0,closedApp,,,
instagram,60.0,1.5,Europe/Warsaw,1749828630.140429,0.0,openedApp,askForTimeLimit,,
linkedin,,1.5,Europe/Warsaw,1749829034.381413,0.0,openedApp,breathingExercise,Stay In the Loop,
linkedin,,,Europe/Warsaw,1749829038.672826,0.0,closedApp,,,
linkedin,,,Europe/Warsaw,1749829041.353908,0.0,closedApp,,,
linkedin,,,Europe/Warsaw,1749829083.111346,0.0,closedApp,,,
linkedin,,1.5,Europe/Warsaw,1749834167.69355,0.0,openedApp,breathingExercise,Stay In the Loop,
linkedin,,,Europe/Warsaw,1749834170.5234652,0.0,closedApp,,,
linkedin,,,Europe/Warsaw,1749834213.199899,0.0,closedApp,,,
DB5B0D08-D10B-4072-A6BC-56D17CC448A4,,1.5,Europe/Warsaw,1749834554.8279371,0.0,openedApp,breathingExercise,Stay In the Loop,
DB5B0D08-D10B-4072-A6BC-56D17CC448A4,,,Europe/Warsaw,1749834617.1118221,0.0,closedApp,,,
DB5B0D08-D10B-4072-A6BC-56D17CC448A4,,,Europe/Warsaw,1749834618.860049,0.0,closedApp,,,
DB5B0D08-D10B-4072-A6BC-56D17CC448A4,,,Europe/Warsaw,1749834624.5646,0.0,closedApp,,,
DB5B0D08-D10B-4072-A6BC-56D17CC448A4,,,Europe/Warsaw,1749834628.715569,0.0,closedApp,,,
DB5B0D08-D10B-4072-A6BC-56D17CC448A4,,,Europe/Warsaw,1749834647.4017072,0.0,closedApp,,,
linkedin,,1.5,Europe/Warsaw,1749842332.214395,0.0,openedApp,breathingExercise,Stay In the Loop,
linkedin,,,Europe/Warsaw,1749842337.065062,0.0,closedApp,,,
linkedin,,,Europe/Warsaw,1749842361.507815,0.0,closedApp,,,
instagram,60.0,1.5,Europe/Warsaw,1749886134.798851,0.0,openedApp,askForTimeLimit,,
instagram,60.0,1.5,Europe/Warsaw,1749886209.096507,1.0,openedApp,breathingExercise,Stay In the Loop,
instagram,60.0,1.5,Europe/Warsaw,1749886310.0983891,0.0,openedApp,askForTimeLimit,,
instagram,60.0,1.5,Europe/Warsaw,1749893675.3175511,0.0,openedApp,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1749894803.742021,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1749894806.55226,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1749896257.020406,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,60.0,1.5,Europe/Warsaw,1749896267.19847,0.0,openedApp,askForTimeLimit,,
DB5B0D08-D10B-4072-A6BC-56D17CC448A4,,1.5,Europe/Warsaw,1749898357.662047,0.0,openedApp,breathingExercise,Stay In the Loop,
DB5B0D08-D10B-4072-A6BC-56D17CC448A4,,,Europe/Warsaw,1749898438.643441,0.0,closedApp,,,
DB5B0D08-D10B-4072-A6BC-56D17CC448A4,,,Europe/Warsaw,1749898477.8744931,0.0,closedApp,,,
instagram,60.0,1.5,Europe/Warsaw,1749912015.232142,0.0,openedApp,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1749912073.75259,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,60.0,1.5,Europe/Warsaw,1749912076.209978,0.0,openedApp,askForTimeLimit,,
instagram,60.0,1.5,Europe/Warsaw,1749914804.2447438,0.0,openedApp,askForTimeLimit,,
linkedin,,1.5,Europe/Warsaw,1749915168.947908,0.0,openedApp,breathingExercise,Stay In the Loop,
linkedin,,,Europe/Warsaw,1749915171.569063,0.0,closedApp,,,
linkedin,,,Europe/Warsaw,1749915176.672205,0.0,closedApp,,,
linkedin,,,Europe/Warsaw,1749915213.576046,0.0,closedApp,,,
instagram,,1.5,Europe/Warsaw,1749915397.666977,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,60.0,1.5,Europe/Warsaw,1749915400.34615,0.0,openedApp,askForTimeLimit,,
linkedin,,1.5,Europe/Warsaw,1749917028.6474562,0.0,openedApp,breathingExercise,Stay In the Loop,
linkedin,,,Europe/Warsaw,1749917031.613215,0.0,closedApp,,,
linkedin,,,Europe/Warsaw,1749917039.74735,0.0,closedApp,,,
instagram,,1.5,Europe/Warsaw,1749919796.207876,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,60.0,6.0,Europe/Warsaw,1749937642.6868849,0.0,openedApp,askForTimeLimit,,
instagram,60.0,6.0,Europe/Warsaw,1749937819.7858071,0.0,openedApp,breathingExercise,Stay In the Loop,
instagram,60.0,6.0,Europe/Warsaw,1749966068.210577,0.0,openedApp,askForTimeLimit,,
linkedin,,6.0,Europe/Warsaw,1749969657.259254,0.0,openedApp,breathingExercise,Stay In the Loop,
linkedin,,,Europe/Warsaw,1749969663.408365,0.0,closedApp,,,
linkedin,,,Europe/Warsaw,1749969712.355874,0.0,closedApp,,,
instagram,240.0,6.0,Europe/Warsaw,1749981615.576062,0.0,openedApp,askForTimeLimit,,
instagram,60.0,6.0,Europe/Warsaw,1749989498.162891,0.0,openedApp,askForTimeLimit,,
instagram,60.0,6.0,Europe/Warsaw,1749989581.9746141,1.0,openedApp,breathingExercise,Stay In the Loop,
instagram,60.0,6.0,Europe/Warsaw,1749994763.2563229,0.0,openedApp,breathingExercise,Stay In the Loop,
instagram,,6.0,Europe/Warsaw,1749997282.1036901,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,,6.0,Europe/Warsaw,1750013167.1330462,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,60.0,6.0,Europe/Warsaw,1750019931.304647,0.0,openedApp,askForTimeLimit,,
instagram,60.0,6.0,Europe/Warsaw,1750051406.082337,0.0,openedApp,askForTimeLimit,,
instagram,,6.0,Europe/Warsaw,1750052607.484477,0.0,dismissedAppOpening,askForTimeLimit,,
linkedin,,6.0,Europe/Warsaw,1750066056.170257,0.0,openedApp,breathingExercise,Stay In the Loop,
linkedin,,,Europe/Warsaw,1750066062.541538,0.0,closedApp,,,
linkedin,,,Europe/Warsaw,1750066075.874133,0.0,closedApp,,,
linkedin,,,Europe/Warsaw,1750066082.026617,0.0,closedApp,,,
linkedin,,,Europe/Warsaw,1750066086.231523,0.0,closedApp,,,
linkedin,,,Europe/Warsaw,1750066119.5060759,0.0,closedApp,,,
instagram,,6.0,Europe/Warsaw,1750074558.701803,0.0,dismissedAppOpening,askForTimeLimit,,
linkedin,,6.0,Europe/Warsaw,1750074767.2006521,0.0,openedApp,breathingExercise,Stay In the Loop,
linkedin,,,Europe/Warsaw,1750074769.5999851,0.0,closedApp,,,
linkedin,,,Europe/Warsaw,1750074772.449698,0.0,closedApp,,,
instagram,,6.0,Europe/Warsaw,1750078656.0525079,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,,6.0,Europe/Warsaw,1750078658.756054,0.0,dismissedAppOpening,askForTimeLimit,,
linkedin,,6.0,Europe/Warsaw,1750080424.2859988,0.0,openedApp,breathingExercise,Stay In the Loop,
linkedin,,,Europe/Warsaw,1750080426.892472,0.0,closedApp,,,
linkedin,,,Europe/Warsaw,1750080428.451205,0.0,closedApp,,,
instagram,60.0,6.0,Europe/Warsaw,1750097670.483405,0.0,openedApp,askForTimeLimit,,
instagram,,6.0,Europe/Warsaw,1750097737.3016062,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,60.0,6.0,Europe/Warsaw,1750106629.9879122,0.0,openedApp,askForTimeLimit,,
instagram,60.0,6.0,Europe/Warsaw,1750142051.124222,0.0,openedApp,askForTimeLimit,,
instagram,,6.0,Europe/Warsaw,1750159777.784305,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,60.0,6.0,Europe/Warsaw,1750183510.192122,0.0,openedApp,askForTimeLimit,,
