resolution,timezone,app,interventionDuration,timestamp,isReIntervention,interventionType
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750710804.471431,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750746043.0802789,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750746213.370291,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750746331.9436069,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750746377.56317,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750746611.789307,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750746617.844983,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750746635.308669,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750746764.775562,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750764010.247468,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750764210.895093,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750764249.346733,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750767718.1451058,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750774783.752236,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750776271.4562402,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750780382.9841108,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750780434.835194,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750780488.969726,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750780537.663498,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750782830.200294,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750782833.857821,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750783567.678901,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750783633.990978,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750783644.011112,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750784763.752962,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,3.0,1750851104.854501,False,breathingExercise
