resolution,timezone,interventionType,timestamp,app,interventionDuration,isReIntervention
dismissedAppOpening,Europe/Berlin,breathingExercise,1752954164.3860621,instagram,6.0,False
openedApp,Europe/Berlin,breathingExercise,1752955860.720896,instagram,6.0,False
openedApp,Europe/Berlin,breathingExercise,1752959154.853588,instagram,6.0,False
openedApp,Europe/Berlin,breathingExercise,1752961406.216306,instagram,6.0,False
openedApp,Europe/Berlin,breathingExercise,1752961429.0111818,instagram,6.0,False
openedApp,Europe/Berlin,breathingExercise,1752963680.491292,instagram,6.0,False
openedApp,Europe/Berlin,breathingExercise,1752966960.424059,instagram,6.0,False
openedApp,Europe/Berlin,breathingExercise,1752967324.4067569,instagram,6.0,False
openedApp,Europe/Berlin,breathingExercise,1753001477.194253,instagram,6.0,False
dismissedAppOpening,Europe/Berlin,breathingExercise,1753002471.1048121,instagram,6.0,False
openedApp,Europe/Berlin,breathingExercise,1753016000.267185,instagram,6.0,False
openedApp,Europe/Berlin,breathingExercise,1753020723.7909698,instagram,6.0,False
