interventionDuration,timestamp,interventionType,timezone,app,resolution,isReIntervention
1.5,1749973529.316625,breathingExercise,Europe/Berlin,youtube,openedApp,False
1.5,1749976510.372768,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749976526.6637778,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749976600.3419352,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749976967.7076259,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749978842.038867,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749979060.373549,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749979077.384031,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749979468.008683,breathingExercise,Europe/Berlin,youtube,openedApp,False
1.5,1749986020.266212,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749986082.206092,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749986207.1808019,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749986246.982197,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749986511.704459,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749986527.280359,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749991512.926134,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749992205.2319942,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749992222.787734,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749992996.879027,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749995429.597722,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749995462.422512,breathingExercise,Europe/Berlin,snapchat,dismissedAppOpening,False
1.5,1749996786.541411,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749996949.806361,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749996958.214497,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749997204.168375,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749998261.9537768,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749998742.550544,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749998982.5820742,breathingExercise,Europe/Berlin,instagram,dismissedAppOpening,False
1.5,1749998988.7164721,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749999247.241895,breathingExercise,Europe/Berlin,snapchat,dismissedAppOpening,False
1.5,1750001801.121027,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1750003862.3295832,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1750005306.765036,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1750005636.232984,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1750007273.942947,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1750007787.292931,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1750007805.781471,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1750008096.4880261,breathingExercise,Europe/Berlin,snapchat,dismissedAppOpening,False
1.5,1750008112.372748,breathingExercise,Europe/Berlin,instagram,dismissedAppOpening,False
1.5,1750008120.531524,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1750009463.710233,breathingExercise,Europe/Berlin,snapchat,dismissedAppOpening,False
1.5,1750009470.113155,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1750009490.68079,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1750011044.5977101,breathingExercise,Europe/Berlin,snapchat,dismissedAppOpening,False
1.5,1750011052.1255798,breathingExercise,Europe/Berlin,instagram,openedApp,False
