isReIntervention,timezone,timestamp,interventionDuration,interventionType,app,resolution,timeIntervalUntilReIntervention,purpose
False,Europe/Madrid,1752932397.014058,,,whastapp,closedApp,,
True,Europe/Madrid,1752932406.04075,1.5,breathingExercise,whastapp,openedApp,540.0,
False,Europe/Madrid,1752932618.439619,,,whastapp,closedApp,,
False,Europe/Madrid,1752934728.23919,1.5,breathingExercise,whastapp,openedApp,60.0,
False,Europe/Madrid,1752934792.947614,,,whastapp,closedApp,,
True,Europe/Madrid,1752934799.113133,1.5,breathingExercise,whastapp,openedApp,300.0,
False,Europe/Madrid,1752934947.9446058,,,whastapp,closedApp,,
False,Europe/Madrid,1752938393.374308,1.5,breathingExercise,whastapp,dismissedAppOpening,,
False,Europe/Madrid,1752938436.638113,1.5,breathingExercise,whastapp,openedApp,420.0,
False,Europe/Madrid,1752938503.43995,,,whastapp,closedApp,,
False,Europe/Madrid,1752956571.7607322,1.5,breathingExercise,whastapp,openedApp,900.0,
False,Europe/Madrid,1752956949.293133,,,whastapp,closedApp,,
False,Europe/Madrid,1752956961.167553,1.5,breathingExercise,snapchat,openedApp,,
False,Europe/Madrid,1752956995.647726,,,snapchat,closedApp,,
False,Europe/Madrid,1752957377.733467,,,whastapp,closedApp,,
False,Europe/Madrid,1752957610.084125,,,whastapp,closedApp,,
True,Europe/Madrid,1752957616.473311,1.5,breathingExercise,whastapp,openedApp,900.0,
False,Europe/Madrid,1752957714.4734368,,,whastapp,closedApp,,
False,Europe/Madrid,1752957719.6256351,1.5,breathingExercise,safari,openedApp,,
False,Europe/Madrid,1752958538.6136851,,,whastapp,closedApp,,
True,Europe/Madrid,1752958545.7568722,1.5,breathingExercise,whastapp,openedApp,900.0,
False,Europe/Madrid,1752958874.73403,,,whastapp,closedApp,,
False,Europe/Madrid,1752959000.273703,,,whastapp,closedApp,,
False,Europe/Madrid,1752959717.059161,,,whastapp,closedApp,,
False,Europe/Madrid,1752959723.756525,1.5,breathingExercise,whastapp,openedApp,900.0,
False,Europe/Madrid,1752960626.647865,,,whastapp,closedApp,,
True,Europe/Madrid,1752960636.361526,1.5,breathingExercise,whastapp,openedApp,900.0,
False,Europe/Madrid,1752960700.2198439,,,whastapp,closedApp,,
False,Europe/Madrid,1752961074.9742,,,whastapp,closedApp,,
False,Europe/Madrid,1752961549.62787,,,whastapp,closedApp,,
True,Europe/Madrid,1752961555.743685,1.5,breathingExercise,whastapp,openedApp,900.0,
False,Europe/Madrid,1752961750.449889,,,whastapp,closedApp,,
False,Europe/Madrid,1752962387.226466,,,whastapp,closedApp,,
False,Europe/Madrid,1752962496.044143,,,whastapp,closedApp,,
False,Europe/Madrid,1752964018.281786,1.5,breathingExercise,whastapp,openedApp,240.0,
False,Europe/Madrid,1752964034.9677281,1.5,breathingExercise,safari,openedApp,,
False,Europe/Madrid,1752964222.902401,,,whastapp,closedApp,,
False,Europe/Madrid,1752964227.017555,1.5,breathingExercise,safari,openedApp,,
False,Europe/Madrid,1752964357.993311,,,whastapp,closedApp,,
False,Europe/Madrid,1752964379.3981972,,,whastapp,closedApp,,
False,Europe/Madrid,1752964442.660516,,,whastapp,closedApp,,
False,Europe/Madrid,1752964446.87023,1.5,breathingExercise,safari,openedApp,,
False,Europe/Madrid,1752964522.990653,,,whastapp,closedApp,,
False,Europe/Madrid,1752964601.393204,,,whastapp,closedApp,,
False,Europe/Madrid,1752964674.934905,1.5,breathingExercise,safari,dismissedAppOpening,,
False,Europe/Madrid,1752964675.948372,1.5,breathingExercise,safari,dismissedAppOpening,,
False,Europe/Madrid,1752964682.503852,1.5,breathingExercise,safari,openedApp,,
False,Europe/Madrid,1752964747.503285,,,whastapp,closedApp,,
