timezone,interventionType,resolution,timestamp,app,isReIntervention,interventionDuration
Africa/Cairo,breathingExercise,openedApp,1753048667.5689468,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1753049380.178385,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753049551.3136358,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753052767.754406,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1753057802.402942,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753057846.845481,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753058011.005368,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1753058037.28611,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753058046.721264,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753060142.86759,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1753060648.6619148,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1753060654.569724,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753088730.430289,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753089834.73894,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753094082.4379969,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753094551.16053,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753094594.1600208,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753094730.1378698,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1753096929.955587,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753097787.647439,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753098322.023829,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753099660.477521,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753101022.3654299,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753102337.627801,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1753103636.589031,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753103975.958385,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1753104034.784402,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753104041.353527,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753106548.8608952,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753106606.155402,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1753110338.9549022,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1753110345.694279,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753110881.791348,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1753113726.026757,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753113771.650931,instagram,False,1.5
