timezone,interventionDuration,app,interventionType,isReIntervention,timestamp,resolution,timeIntervalUntilReIntervention
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750349934.792348,openedApp,540.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750350306.7488341,openedApp,300.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750350634.143542,openedApp,420.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750350932.54173,dismissedAppOpening,
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750359553.022736,openedApp,360.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750370594.124687,openedApp,300.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750372194.7363858,openedApp,180.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750372873.054995,openedApp,300.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750373208.986639,openedApp,360.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750377412.095454,dismissedAppOpening,
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750377421.1424809,openedApp,360.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750377451.069304,openedApp,360.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750379188.30774,openedApp,360.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750379561.0720081,openedApp,180.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750381203.155752,openedApp,360.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750387814.527606,dismissedAppOpening,
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750419651.280127,openedApp,360.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750420025.034054,openedApp,360.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750422110.583024,openedApp,300.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750422355.3486218,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750423372.474244,openedApp,180.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750423561.769207,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750423589.4125,dismissedAppOpening,
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750431139.7986279,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750431209.5921512,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750432478.237144,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750434876.468894,openedApp,300.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750441118.215582,openedApp,180.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750441309.176703,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750441377.3514218,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750441444.4574451,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750442145.882173,openedApp,300.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750442457.368489,openedApp,120.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750442587.446055,openedApp,240.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750442834.151351,openedApp,120.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750442962.5339398,openedApp,360.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750443045.5192652,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750443118.921929,openedApp,300.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750443426.552559,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750444786.105744,openedApp,240.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750453318.154361,openedApp,300.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750453630.081524,openedApp,300.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750455362.1869879,openedApp,360.0
